Dec. 31 2017,-152.6%
Sept. 30 2017,-52.61%
June 30 2017,-32.81%
March 31 2017,-81.47%
Dec. 31 2016,-34.66%
Sept. 30 2016,-26.50%
June 30 2016,-35.00%
March 31 2016,-49.72%
Dec. 31 2015,-82.75%
Sept. 30 2015,-358.7%
June 30 2015,131.7%
March 31 2015,71.34%
Dec. 31 2014,51.32%
Sept. 30 2014,36.95%
June 30 2014,37.25%
March 31 2014,36.91%
Dec. 31 2013,36.41%
Sept. 30 2013,40.64%
June 30 2013,43.79%
March 31 2013,42.60%
Dec. 31 2012,38.89%
Sept. 30 2012,32.14%
June 30 2012,30.62%
March 31 2012,28.60%
Dec. 31 2011,29.21%
Sept. 30 2011,32.11%
June 30 2011,30.16%
March 31 2011,27.47%
Dec. 31 2010,27.95%
Sept. 30 2010,29.41%
June 30 2010,33.26%
March 31 2010,50.42%
Dec. 31 2009,64.16%
Sept. 30 2009,-9.73%
June 30 2009,-11.23%
March 31 2009,-13.87%
Dec. 31 2008,-16.79%
Sept. 30 2008,14.68%
June 30 2008,15.71%
March 31 2008,21.76%
Dec. 31 2007,22.38%
Sept. 30 2007,24.28%
June 30 2007,23.15%
March 31 2007,15.53%
Dec. 31 2006,14.64%
Sept. 30 2006,13.18%
June 30 2006,12.22%
March 31 2006,12.85%
Dec. 31 2005,12.11%
Sept. 30 2005,12.67%
June 30 2005,13.56%
March 31 2005,13.64%
Dec. 31 2004,15.16%
Sept. 30 2004,17.49%
June 30 2004,19.12%
March 31 2004,21.95%
Dec. 31 2003,23.29%
Sept. 30 2003,33.05%
June 30 2003,51.07%
March 31 2003,79.47%
Dec. 31 2002,-231.9%
Sept. 30 2002,186.4%
June 30 2002,65.03%
March 31 2002,43.53%
Dec. 31 2001,24.65%
Sept. 30 2001,15.92%
June 30 2001,15.23%
March 31 2001,16.51%
Dec. 31 2000,18.58%
Sept. 30 2000,25.22%
June 30 2000,29.66%
March 31 2000,43.60%
Dec. 31 1999,56.49%
Sept. 30 1999,231.5%
June 30 1999,-1.33K%
March 31 1999,546.9%
Dec. 31 1998,148.9%
Sept. 30 1998,54.27%
June 30 1998,43.22%
March 31 1998,36.72%
