Dec. 31 2017,30.61B
Sept. 30 2017,30.50B
June 30 2017,30.29B
March 31 2017,35.35B
Dec. 31 2016,34.97B
Sept. 30 2016,36.17B
June 30 2016,37.54B
March 31 2016,39.09B
Dec. 31 2015,39.76B
Sept. 30 2015,44.21B
June 30 2015,48.62B
March 31 2015,48.65B
Dec. 31 2014,51.91B
Sept. 30 2014,55.27B
June 30 2014,55.32B
March 31 2014,53.22B
Dec. 31 2013,52.09B
Sept. 30 2013,51.11B
June 30 2013,48.51B
March 31 2013,48.80B
Dec. 31 2012,47.99B
Sept. 30 2012,47.41B
June 30 2012,45.97B
March 31 2012,66.53B
Dec. 31 2011,65.24B
Sept. 30 2011,65.81B
June 30 2011,70.06B
March 31 2011,69.97B
Dec. 31 2010,68.56B
March 31 2010,62.84B
Dec. 31 2009,62.02B
Sept. 30 2009,61.51B
June 30 2009,58.93B
March 31 2009,55.10B
Dec. 31 2008,55.16B
Sept. 30 2008,92.88B
June 30 2008,92.40B
March 31 2008,89.58B
Dec. 31 2007,88.98B
Sept. 30 2007,86.93B
June 30 2007,84.93B
March 31 2007,84.78B
Dec. 31 2006,82.65B
Sept. 30 2006,80.48B
June 30 2006,77.38B
March 31 2006,72.19B
Dec. 31 2005,52.73B
Sept. 30 2005,49.84B
June 30 2005,47.30B
March 31 2005,45.03B
Dec. 31 2004,42.72B
Sept. 30 2004,39.77B
June 30 2004,37.83B
March 31 2004,35.82B
Dec. 31 2003,34.37B
Sept. 30 2003,32.96B
June 30 2003,32.03B
March 31 2003,30.92B
Dec. 31 2002,29.52B
Sept. 30 2002,29.99B
June 30 2002,14.46B
March 31 2002,14.11B
Dec. 31 2001,14.34B
Sept. 30 2001,14.42B
June 30 2001,7.052B
March 31 2001,6.496B
Dec. 31 2000,6.093B
Sept. 30 2000,5.436B
June 30 2000,5.081B
March 31 2000,4.705B
Dec. 31 1999,4.549B
Sept. 30 1999,4.385B
June 30 1999,4.223B
March 31 1999,4.205B
Dec. 31 1998,4.219B
Sept. 30 1998,4.639B
June 30 1998,4.841B
March 31 1998,4.888B
