Feb. 1 2018,10.00%
Jan. 29 2018,5.00%
Jan. 16 2018,18.00%
Dec. 22 2017,12.50%
Dec. 20 2017,10.00%
Nov. 9 2017,6.00%
Oct. 30 2017,6.00%
Oct. 17 2017,7.00%
July 31 2017,6.00%
July 28 2017,-6.91%
July 27 2017,7.00%
July 26 2017,-7.95%
July 19 2017,5.00%
May 20 2017,6.00%
May 5 2017,7.00%
May 2 2017,-1.22%
May 1 2017,-7.95%
April 19 2017,-2.22%
April 17 2017,5.00%
March 30 2017,6.00%
Feb. 6 2017,6.00%
Jan. 20 2017,7.00%
Jan. 18 2017,-7.95%
Jan. 16 2017,-39.00%
Jan. 4 2017,-16.00%
Dec. 27 2016,-16.00%
Dec. 8 2016,-10.42%
Nov. 14 2016,-9.00%
Nov. 10 2016,-1.60%
Oct. 28 2016,-9.00%
Oct. 27 2016,-16.50%
Oct. 18 2016,-26.25%
Sept. 7 2016,-40.00%
Sept. 2 2016,-26.74%
July 29 2016,-26.74%
July 20 2016,-41.00%
July 18 2016,-14.58%
July 11 2016,-17.00%
June 6 2016,7.00%
June 2 2016,0.65%
Feb. 5 2016,6.00%
Feb. 4 2016,-5.49%
Jan. 26 2016,-7.79%
Jan. 12 2016,-8.02%
Jan. 5 2016,-5.02%
Dec. 11 2015,-5.01%
Dec. 8 2015,-6.13%
Nov. 13 2015,-5.73%
Oct. 30 2015,-5.73%
Oct. 19 2015,-8.89%
Oct. 16 2015,-8.89%
Sept. 26 2015,-6.81%
Sept. 11 2015,-4.05%
Sept. 8 2015,-2.31%
Aug. 31 2015,-2.31%
Aug. 24 2015,-3.53%
July 31 2015,-2.11%
July 16 2015,-1.08%
July 8 2015,-0.31%
June 16 2015,-0.31%
June 8 2015,0.98%
June 1 2015,6.87%
May 18 2015,6.87%
April 27 2015,6.51%
April 20 2015,6.51%
April 13 2015,6.56%
April 9 2015,6.87%
April 7 2015,2.35%
March 2 2015,5.30%
Feb. 25 2015,5.38%
Jan. 30 2015,5.90%
Jan. 21 2015,5.61%
Jan. 15 2015,6.80%
Jan. 6 2015,5.60%
Dec. 9 2014,6.95%
Dec. 8 2014,8.95%
Dec. 5 2014,7.84%
Dec. 1 2014,7.61%
Nov. 25 2014,7.51%
Oct. 31 2014,7.37%
Oct. 23 2014,8.17%
Oct. 15 2014,8.18%
Oct. 7 2014,8.29%
Sept. 9 2014,7.73%
Aug. 5 2014,7.10%
Aug. 1 2014,7.11%
July 21 2014,7.16%
July 9 2014,7.17%
June 20 2014,7.22%
June 15 2014,8.19%
June 13 2014,8.50%
May 30 2014,8.20%
May 2 2014,7.89%
April 21 2014,6.76%
April 15 2014,6.76%
April 11 2014,6.82%
April 8 2014,6.67%
Jan. 31 2014,7.40%
Jan. 27 2014,3.08%
Jan. 13 2014,4.30%
Dec. 12 2013,7.55%
Dec. 9 2013,5.25%
Nov. 1 2013,5.32%
Oct. 17 2013,4.73%
Oct. 8 2013,4.74%
Oct. 4 2013,4.77%
Aug. 2 2013,3.82%
July 29 2013,3.32%
July 16 2013,2.82%
June 5 2013,2.80%
May 31 2013,3.50%
May 29 2013,4.35%
April 26 2013,4.11%
April 18 2013,4.17%
April 8 2013,4.22%
