Dec. 31 2017,45.84%
Sept. 30 2017,44.77%
June 30 2017,42.89%
March 31 2017,38.88%
Dec. 31 2016,35.71%
Sept. 30 2016,34.47%
June 30 2016,34.03%
March 31 2016,35.66%
Dec. 31 2015,37.15%
Sept. 30 2015,36.46%
June 30 2015,40.80%
March 31 2015,43.07%
Dec. 31 2014,44.15%
Sept. 30 2014,44.46%
June 30 2014,45.28%
March 31 2014,45.32%
Dec. 31 2013,46.11%
Sept. 30 2013,49.90%
June 30 2013,48.36%
March 31 2013,47.98%
Dec. 31 2012,48.35%
Sept. 30 2012,44.98%
June 30 2012,43.85%
March 31 2012,43.60%
Dec. 31 2011,31.42%
Sept. 30 2011,27.29%
June 30 2011,25.62%
March 31 2011,25.03%
Dec. 31 2010,25.73%
Sept. 30 2010,26.34%
June 30 2010,26.27%
March 31 2010,24.60%
Dec. 31 2009,25.22%
Sept. 30 2009,26.43%
June 30 2009,26.51%
March 31 2009,26.57%
Dec. 31 2008,26.69%
Sept. 30 2008,27.35%
June 30 2008,28.30%
March 31 2008,30.13%
Dec. 31 2007,30.49%
Sept. 30 2007,31.19%
June 30 2007,31.98%
March 31 2007,32.39%
Dec. 31 2006,31.41%
Sept. 30 2006,29.44%
June 30 2006,27.83%
March 31 2006,26.41%
Dec. 31 2005,27.20%
Sept. 30 2005,25.22%
June 30 2005,23.19%
March 31 2005,23.33%
Dec. 31 2004,22.92%
Sept. 30 2004,31.39%
June 30 2004,32.64%
March 31 2004,32.43%
Dec. 31 2003,32.39%
Sept. 30 2003,28.40%
June 30 2003,28.91%
March 31 2003,28.28%
Dec. 31 2002,27.27%
Sept. 30 2002,23.18%
June 30 2002,26.60%
March 31 2002,31.39%
Dec. 31 2001,35.74%
Sept. 30 2001,42.66%
June 30 2001,44.41%
March 31 2001,40.80%
Dec. 31 2000,38.20%
Sept. 30 2000,28.03%
June 30 2000,25.87%
March 31 2000,24.23%
Dec. 31 1999,24.67%
Sept. 30 1999,23.06%
June 30 1999,22.08%
March 31 1999,22.92%
Dec. 31 1998,24.20%
Sept. 30 1998,26.22%
June 30 1998,27.12%
March 31 1998,26.43%
