Dec. 31 2017,-2.64%
Sept. 30 2017,-7.38%
June 30 2017,-11.27%
March 31 2017,-4.26%
Dec. 31 2016,-9.64%
Sept. 30 2016,-17.86%
June 30 2016,-16.87%
March 31 2016,-14.00%
Dec. 31 2015,-9.50%
Sept. 30 2015,-2.04%
June 30 2015,5.31%
March 31 2015,9.49%
Dec. 31 2014,12.82%
Sept. 30 2014,17.59%
June 30 2014,17.62%
March 31 2014,18.01%
Dec. 31 2013,18.42%
Sept. 30 2013,16.60%
June 30 2013,15.53%
March 31 2013,14.86%
Dec. 31 2012,15.43%
Sept. 30 2012,17.86%
June 30 2012,17.87%
March 31 2012,18.28%
Dec. 31 2011,18.31%
Sept. 30 2011,16.44%
June 30 2011,17.28%
March 31 2011,18.91%
Dec. 31 2010,18.09%
Sept. 30 2010,
June 30 2010,
March 31 2010,9.51%
Dec. 31 2009,7.54%
Sept. 30 2009,-44.25%
June 30 2009,-35.15%
March 31 2009,-26.40%
Dec. 31 2008,-20.28%
Sept. 30 2008,21.23%
June 30 2008,19.90%
March 31 2008,14.34%
Dec. 31 2007,13.88%
Sept. 30 2007,12.77%
June 30 2007,13.31%
March 31 2007,19.88%
Dec. 31 2006,21.28%
Sept. 30 2006,24.10%
June 30 2006,26.64%
March 31 2006,26.04%
Dec. 31 2005,28.47%
Sept. 30 2005,27.33%
June 30 2005,24.66%
March 31 2005,23.43%
Dec. 31 2004,21.34%
Sept. 30 2004,18.64%
June 30 2004,17.45%
March 31 2004,15.50%
Dec. 31 2003,14.87%
Sept. 30 2003,10.57%
June 30 2003,6.81%
March 31 2003,4.32%
Dec. 31 2002,-1.44%
Sept. 30 2002,1.69%
June 30 2002,6.02%
March 31 2002,9.24%
Dec. 31 2001,16.89%
Sept. 30 2001,28.06%
June 30 2001,37.78%
March 31 2001,37.79%
Dec. 31 2000,36.00%
Sept. 30 2000,28.32%
June 30 2000,25.35%
March 31 2000,17.88%
Dec. 31 1999,14.11%
Sept. 30 1999,3.44%
June 30 1999,-0.59%
March 31 1999,1.40%
Dec. 31 1998,5.06%
Sept. 30 1998,13.72%
June 30 1998,17.32%
March 31 1998,20.83%
