Feb. 1 2018,6.877M
Jan. 31 2018,6.994M
Jan. 30 2018,6.326M
Jan. 29 2018,3.988M
Jan. 26 2018,5.148M
Jan. 25 2018,5.467M
Jan. 24 2018,4.875M
Jan. 23 2018,5.429M
Jan. 22 2018,5.702M
Jan. 19 2018,5.013M
Jan. 18 2018,4.372M
Jan. 17 2018,5.724M
Jan. 16 2018,5.448M
Jan. 12 2018,6.731M
Jan. 11 2018,7.324M
Jan. 10 2018,4.626M
Jan. 9 2018,5.505M
Jan. 8 2018,4.518M
Jan. 5 2018,3.756M
Jan. 4 2018,4.894M
Jan. 3 2018,4.102M
Jan. 2 2018,3.962M
Dec. 29 2017,3.654M
Dec. 28 2017,4.241M
Dec. 27 2017,4.332M
Dec. 26 2017,3.189M
Dec. 22 2017,3.834M
Dec. 21 2017,7.676M
Dec. 20 2017,7.995M
Dec. 19 2017,4.782M
Dec. 18 2017,5.511M
Dec. 15 2017,10.76M
Dec. 14 2017,6.400M
Dec. 13 2017,4.876M
Dec. 12 2017,6.190M
Dec. 11 2017,3.931M
Dec. 8 2017,5.202M
Dec. 7 2017,4.022M
Dec. 6 2017,4.403M
Dec. 5 2017,4.197M
Dec. 4 2017,6.140M
Dec. 1 2017,6.661M
Nov. 30 2017,10.58M
Nov. 29 2017,6.871M
Nov. 28 2017,6.330M
Nov. 27 2017,6.156M
Nov. 24 2017,2.289M
Nov. 22 2017,4.567M
Nov. 21 2017,6.089M
Nov. 20 2017,4.427M
Nov. 17 2017,4.127M
Nov. 16 2017,5.679M
Nov. 15 2017,7.256M
Nov. 14 2017,6.679M
Nov. 13 2017,6.684M
Nov. 10 2017,5.502M
Nov. 9 2017,6.656M
Nov. 8 2017,7.445M
Nov. 7 2017,8.470M
Nov. 6 2017,8.428M
Nov. 3 2017,8.019M
Nov. 2 2017,6.161M
Nov. 1 2017,6.399M
Oct. 31 2017,6.127M
Oct. 30 2017,6.617M
Oct. 27 2017,7.823M
Oct. 26 2017,7.293M
Oct. 25 2017,6.971M
Oct. 24 2017,7.500M
Oct. 23 2017,5.306M
Oct. 20 2017,5.985M
Oct. 19 2017,4.013M
Oct. 18 2017,6.480M
Oct. 17 2017,3.558M
Oct. 16 2017,4.302M
Oct. 13 2017,4.630M
Oct. 12 2017,4.443M
Oct. 11 2017,4.535M
Oct. 10 2017,5.253M
Oct. 9 2017,4.766M
Oct. 6 2017,3.903M
Oct. 5 2017,5.295M
Oct. 4 2017,5.432M
Oct. 3 2017,6.741M
Oct. 2 2017,4.832M
Sept. 29 2017,4.176M
Sept. 28 2017,5.490M
Sept. 27 2017,5.370M
Sept. 26 2017,5.434M
Sept. 25 2017,6.800M
Sept. 22 2017,7.388M
Sept. 21 2017,5.790M
Sept. 20 2017,8.843M
Sept. 19 2017,6.216M
Sept. 18 2017,6.989M
Sept. 15 2017,11.90M
Sept. 14 2017,6.573M
Sept. 13 2017,6.179M
Sept. 12 2017,5.189M
Sept. 11 2017,4.808M
Sept. 8 2017,4.147M
Sept. 7 2017,5.185M
Sept. 6 2017,5.939M
Sept. 5 2017,5.445M
Sept. 1 2017,4.809M
Aug. 31 2017,7.660M
Aug. 30 2017,6.847M
Aug. 29 2017,4.593M
Aug. 28 2017,4.593M
Aug. 25 2017,5.394M
Aug. 24 2017,4.370M
Aug. 23 2017,5.241M
Aug. 22 2017,5.850M
Aug. 21 2017,5.710M
Aug. 18 2017,7.310M
Aug. 17 2017,6.422M
Aug. 16 2017,5.795M
Aug. 15 2017,8.179M
Aug. 14 2017,5.063M
Aug. 11 2017,4.207M
Aug. 10 2017,6.441M
Aug. 9 2017,7.451M
Aug. 8 2017,8.032M
Aug. 7 2017,6.370M
Aug. 4 2017,6.105M
Aug. 3 2017,9.204M
Aug. 2 2017,9.562M
Aug. 1 2017,6.685M
July 31 2017,8.368M
July 28 2017,10.79M
July 27 2017,9.803M
July 26 2017,7.124M
July 25 2017,8.640M
July 24 2017,6.094M
July 21 2017,6.481M
July 20 2017,7.663M
July 19 2017,8.823M
July 18 2017,6.835M
July 17 2017,7.015M
July 14 2017,5.467M
July 13 2017,7.014M
July 12 2017,7.908M
July 11 2017,5.783M
July 10 2017,5.632M
July 7 2017,8.494M
July 6 2017,7.156M
July 5 2017,7.724M
July 3 2017,5.743M
June 30 2017,9.116M
June 29 2017,8.252M
June 28 2017,6.968M
June 27 2017,8.696M
June 26 2017,9.044M
June 23 2017,8.483M
June 22 2017,8.880M
June 21 2017,10.79M
June 20 2017,7.740M
June 19 2017,6.030M
June 16 2017,11.64M
June 15 2017,9.672M
June 14 2017,7.070M
June 13 2017,8.601M
June 12 2017,13.55M
June 9 2017,10.41M
June 8 2017,9.179M
June 7 2017,13.14M
June 6 2017,8.584M
June 5 2017,5.731M
June 2 2017,8.001M
June 1 2017,7.946M
May 31 2017,8.771M
May 30 2017,9.280M
May 26 2017,10.76M
May 25 2017,12.77M
May 24 2017,7.848M
May 23 2017,7.437M
May 22 2017,7.968M
May 19 2017,7.205M
May 18 2017,6.543M
May 17 2017,7.513M
May 16 2017,5.288M
May 15 2017,7.660M
May 12 2017,9.152M
May 11 2017,8.570M
May 10 2017,7.950M
May 9 2017,6.157M
May 8 2017,5.861M
May 5 2017,7.894M
May 4 2017,9.999M
May 3 2017,5.757M
May 2 2017,10.39M
May 1 2017,5.794M
April 28 2017,6.429M
April 27 2017,7.303M
April 26 2017,6.536M
April 25 2017,7.023M
April 24 2017,5.750M
April 21 2017,6.055M
April 20 2017,6.279M
April 19 2017,6.165M
April 18 2017,6.047M
April 17 2017,5.287M
April 13 2017,8.807M
April 12 2017,7.623M
April 11 2017,7.394M
April 10 2017,6.737M
April 7 2017,5.857M
April 6 2017,6.824M
April 5 2017,7.491M
April 4 2017,6.170M
April 3 2017,7.712M
March 31 2017,13.41M
March 30 2017,40.06M
March 29 2017,6.035M
March 28 2017,7.034M
March 27 2017,6.232M
March 24 2017,8.797M
March 23 2017,9.149M
March 22 2017,7.844M
March 21 2017,6.504M
March 20 2017,5.754M
March 17 2017,8.359M
March 16 2017,6.394M
March 15 2017,7.573M
March 14 2017,10.54M
March 13 2017,6.334M
March 10 2017,8.455M
March 9 2017,7.235M
March 8 2017,9.435M
March 7 2017,5.653M
March 6 2017,6.079M
March 3 2017,5.317M
March 2 2017,5.955M
March 1 2017,9.195M
Feb. 28 2017,6.711M
Feb. 27 2017,6.208M
Feb. 24 2017,6.750M
Feb. 23 2017,7.846M
Feb. 22 2017,8.008M
Feb. 21 2017,9.577M
Feb. 17 2017,10.69M
Feb. 16 2017,9.685M
Feb. 15 2017,7.461M
Feb. 14 2017,6.063M
Feb. 13 2017,6.164M
Feb. 10 2017,5.996M
Feb. 9 2017,6.356M
Feb. 8 2017,8.589M
Feb. 7 2017,7.591M
Feb. 6 2017,8.127M
Feb. 3 2017,8.414M
Feb. 2 2017,8.625M
Feb. 1 2017,10.04M
Jan. 31 2017,7.462M
Jan. 30 2017,10.48M
Jan. 27 2017,5.401M
Jan. 26 2017,4.164M
Jan. 25 2017,5.991M
Jan. 24 2017,5.919M
Jan. 23 2017,5.969M
Jan. 20 2017,5.888M
Jan. 19 2017,4.915M
Jan. 18 2017,4.969M
Jan. 17 2017,4.995M
Jan. 13 2017,4.413M
Jan. 12 2017,6.960M
Jan. 11 2017,8.688M
Jan. 10 2017,5.448M
Jan. 9 2017,5.765M
Jan. 6 2017,3.473M
Jan. 5 2017,4.727M
Jan. 4 2017,4.989M
Jan. 3 2017,7.032M
Dec. 30 2016,4.806M
Dec. 29 2016,3.635M
Dec. 28 2016,4.275M
Dec. 27 2016,2.995M
Dec. 23 2016,2.860M
Dec. 22 2016,4.595M
Dec. 21 2016,4.187M
Dec. 20 2016,4.659M
Dec. 19 2016,4.748M
Dec. 16 2016,10.31M
Dec. 15 2016,7.935M
Dec. 14 2016,8.596M
Dec. 13 2016,7.962M
Dec. 12 2016,10.75M
Dec. 9 2016,6.126M
Dec. 8 2016,5.905M
Dec. 7 2016,9.074M
Dec. 6 2016,7.168M
Dec. 5 2016,8.860M
Dec. 2 2016,5.805M
Dec. 1 2016,11.11M
Nov. 30 2016,20.90M
Nov. 29 2016,9.376M
Nov. 28 2016,9.428M
Nov. 25 2016,3.494M
Nov. 23 2016,5.199M
Nov. 22 2016,7.255M
Nov. 21 2016,9.891M
Nov. 18 2016,8.429M
Nov. 17 2016,6.757M
Nov. 16 2016,6.801M
Nov. 15 2016,11.20M
Nov. 14 2016,10.02M
Nov. 11 2016,8.155M
Nov. 10 2016,11.18M
Nov. 9 2016,10.86M
Nov. 8 2016,6.343M
Nov. 7 2016,5.780M
Nov. 4 2016,7.323M
Nov. 3 2016,6.654M
Nov. 2 2016,7.498M
Nov. 1 2016,8.954M
Oct. 31 2016,11.28M
Oct. 28 2016,18.41M
Oct. 27 2016,16.60M
Oct. 26 2016,8.420M
Oct. 25 2016,6.268M
Oct. 24 2016,9.334M
Oct. 21 2016,5.553M
Oct. 20 2016,6.446M
Oct. 19 2016,9.633M
Oct. 18 2016,6.895M
Oct. 17 2016,5.645M
Oct. 14 2016,6.571M
Oct. 13 2016,7.440M
Oct. 12 2016,5.759M
Oct. 11 2016,6.899M
Oct. 10 2016,9.102M
Oct. 7 2016,8.282M
Oct. 6 2016,8.232M
Oct. 5 2016,6.424M
Oct. 4 2016,6.264M
Oct. 3 2016,5.244M
Sept. 30 2016,8.814M
Sept. 29 2016,16.58M
Sept. 28 2016,13.56M
Sept. 27 2016,7.793M
Sept. 26 2016,4.986M
Sept. 23 2016,8.530M
Sept. 22 2016,7.920M
Sept. 21 2016,6.384M
Sept. 20 2016,5.877M
Sept. 19 2016,5.424M
Sept. 16 2016,9.604M
Sept. 15 2016,7.824M
Sept. 14 2016,10.03M
Sept. 13 2016,11.73M
Sept. 12 2016,10.22M
Sept. 9 2016,12.59M
Sept. 8 2016,10.71M
Sept. 7 2016,6.369M
Sept. 6 2016,6.654M
Sept. 2 2016,5.607M
Sept. 1 2016,7.536M
Aug. 31 2016,8.770M
Aug. 30 2016,5.426M
Aug. 29 2016,4.461M
Aug. 26 2016,5.655M
Aug. 25 2016,4.505M
Aug. 24 2016,5.511M
Aug. 23 2016,6.180M
Aug. 22 2016,6.180M
Aug. 19 2016,6.190M
Aug. 18 2016,6.991M
Aug. 17 2016,8.858M
Aug. 16 2016,10.97M
Aug. 15 2016,5.896M
Aug. 12 2016,4.949M
Aug. 11 2016,8.784M
Aug. 10 2016,6.375M
Aug. 9 2016,7.077M
Aug. 8 2016,9.680M
Aug. 5 2016,8.735M
Aug. 4 2016,6.914M
Aug. 3 2016,8.587M
Aug. 2 2016,7.145M
Aug. 1 2016,9.592M
July 29 2016,8.139M
July 28 2016,11.53M
July 27 2016,10.16M
July 26 2016,5.896M
July 25 2016,7.481M
July 22 2016,7.305M
July 21 2016,8.794M
July 20 2016,6.695M
July 19 2016,7.262M
July 18 2016,5.260M
July 15 2016,5.898M
July 14 2016,6.581M
July 13 2016,9.203M
July 12 2016,10.30M
July 11 2016,6.346M
July 8 2016,10.80M
July 7 2016,8.810M
July 6 2016,7.024M
July 5 2016,10.19M
July 1 2016,9.610M
June 30 2016,9.342M
June 29 2016,10.23M
June 28 2016,8.996M
June 27 2016,12.00M
June 24 2016,13.63M
June 23 2016,7.695M
June 22 2016,8.649M
June 21 2016,6.783M
June 20 2016,8.375M
June 17 2016,9.673M
June 16 2016,7.010M
June 15 2016,6.898M
June 14 2016,7.324M
June 13 2016,7.394M
June 10 2016,9.008M
June 9 2016,5.425M
June 8 2016,9.641M
June 7 2016,11.23M
June 6 2016,7.813M
June 3 2016,6.087M
June 2 2016,7.016M
June 1 2016,7.262M
May 31 2016,9.512M
May 27 2016,6.069M
May 26 2016,7.814M
May 25 2016,6.468M
May 24 2016,5.989M
May 23 2016,6.754M
May 20 2016,6.398M
May 19 2016,6.284M
May 18 2016,8.153M
May 17 2016,11.75M
May 16 2016,7.838M
May 13 2016,6.203M
May 12 2016,8.381M
May 11 2016,8.913M
May 10 2016,7.969M
May 9 2016,7.050M
May 6 2016,8.148M
May 5 2016,8.382M
May 4 2016,9.267M
May 3 2016,8.770M
May 2 2016,8.279M
April 29 2016,9.024M
April 28 2016,12.33M
April 27 2016,11.56M
April 26 2016,10.72M
April 25 2016,11.60M
April 22 2016,9.400M
April 21 2016,10.01M
April 20 2016,8.500M
April 19 2016,12.87M
April 18 2016,9.362M
April 15 2016,8.164M
April 14 2016,8.241M
April 13 2016,9.397M
April 12 2016,10.65M
April 11 2016,7.178M
April 8 2016,8.081M
April 7 2016,7.118M
April 6 2016,9.817M
April 5 2016,7.838M
April 4 2016,8.663M
April 1 2016,9.090M
March 31 2016,9.353M
March 30 2016,7.776M
March 29 2016,8.115M
March 28 2016,6.647M
March 24 2016,9.218M
March 23 2016,11.23M
March 22 2016,8.245M
March 21 2016,8.408M
March 18 2016,20.95M
March 17 2016,3.791M
March 16 2016,10.15M
March 15 2016,7.839M
