Jan. 26 2018,16.74%
Jan. 22 2018,19.35%
Jan. 5 2018,15.68%
Jan. 4 2018,15.68%
Dec. 22 2017,12.00%
Dec. 20 2017,8.50%
Nov. 3 2017,5.00%
April 19 2017,-135.1%
April 16 2017,-45.51%
March 9 2017,-20.26%
Jan. 24 2017,-45.51%
Dec. 27 2016,-45.54%
Dec. 8 2016,-20.27%
Nov. 3 2016,-11.59%
Oct. 12 2016,-29.02%
Sept. 8 2016,-24.51%
Sept. 2 2016,-22.79%
Aug. 16 2016,-22.78%
Aug. 5 2016,-24.94%
July 18 2016,-26.70%
July 11 2016,-26.88%
May 5 2016,-24.88%
May 2 2016,-26.08%
April 21 2016,-15.72%
April 20 2016,-15.58%
March 5 2016,-14.11%
March 1 2016,-6.07%
Feb. 18 2016,-5.15%
Feb. 11 2016,7.50%
Nov. 13 2015,-9.00%
Nov. 5 2015,-40.68%
Nov. 2 2015,-38.52%
Oct. 16 2015,-22.93%
Sept. 11 2015,-22.92%
Aug. 31 2015,-16.56%
July 16 2015,8.50%
July 8 2015,4.19%
June 22 2015,4.19%
May 11 2015,4.19%
May 8 2015,2.79%
May 7 2015,4.19%
April 27 2015,-4.11%
April 23 2015,-4.14%
April 20 2015,-12.23%
April 13 2015,-12.23%
March 2 2015,-16.25%
Feb. 25 2015,-13.03%
Jan. 21 2015,-11.45%
Jan. 15 2015,-8.58%
Jan. 6 2015,-4.75%
Dec. 18 2014,-4.55%
Dec. 9 2014,3.82%
Dec. 5 2014,6.42%
Nov. 25 2014,6.50%
Nov. 5 2014,6.43%
Nov. 4 2014,6.33%
Oct. 23 2014,6.33%
Oct. 15 2014,8.80%
Sept. 26 2014,9.77%
Aug. 7 2014,8.20%
Aug. 6 2014,6.86%
July 21 2014,5.29%
July 10 2014,5.29%
June 20 2014,6.11%
June 19 2014,3.07%
June 15 2014,4.09%
June 13 2014,4.32%
May 21 2014,3.98%
May 7 2014,5.48%
April 21 2014,10.01%
Feb. 26 2014,12.44%
Feb. 7 2014,11.21%
Jan. 27 2014,10.01%
Jan. 7 2014,10.01%
Dec. 28 2013,10.15%
Dec. 16 2013,9.44%
Dec. 13 2013,10.85%
Dec. 12 2013,12.53%
Nov. 13 2013,13.02%
Nov. 6 2013,12.35%
Oct. 18 2013,12.21%
Oct. 17 2013,12.22%
Sept. 11 2013,12.48%
Aug. 7 2013,12.38%
July 17 2013,13.28%
July 16 2013,10.34%
June 28 2013,10.34%
May 29 2013,10.18%
May 9 2013,10.17%
May 8 2013,11.30%
April 29 2013,11.72%
April 18 2013,13.55%
