Dec. 31 2017,72.61%
Sept. 30 2017,71.47%
June 30 2017,68.03%
March 31 2017,67.85%
Dec. 31 2016,61.95%
Sept. 30 2016,70.80%
June 30 2016,69.04%
March 31 2016,63.19%
Dec. 31 2015,61.86%
Sept. 30 2015,54.16%
June 30 2015,55.25%
March 31 2015,55.92%
Dec. 31 2014,57.25%
Sept. 30 2014,57.27%
June 30 2014,57.23%
March 31 2014,58.81%
Dec. 31 2013,63.26%
Sept. 30 2013,56.90%
June 30 2013,60.51%
March 31 2013,61.17%
Dec. 31 2012,58.48%
Sept. 30 2012,67.33%
June 30 2012,63.69%
March 31 2012,60.42%
Dec. 31 2011,58.24%
Sept. 30 2011,56.25%
June 30 2011,57.62%
March 31 2011,58.28%
Dec. 31 2010,30.86%
Sept. 30 2010,20.28%
June 30 2010,16.27%
March 31 2010,14.53%
Dec. 31 2009,14.57%
Sept. 30 2009,16.43%
June 30 2009,18.35%
March 31 2009,16.62%
Dec. 31 2008,15.69%
Sept. 30 2008,20.13%
June 30 2008,19.05%
March 31 2008,21.65%
Dec. 31 2007,24.79%
Sept. 30 2007,28.92%
June 30 2007,30.53%
March 31 2007,30.43%
Dec. 31 2006,28.97%
Sept. 30 2006,25.03%
June 30 2006,22.87%
March 31 2006,21.42%
Dec. 31 2005,21.05%
Sept. 30 2005,8.09%
June 30 2005,9.52%
March 31 2005,9.23%
Dec. 31 2004,7.10%
Sept. 30 2004,13.38%
June 30 2004,11.79%
March 31 2004,11.77%
Dec. 31 2003,12.04%
Sept. 30 2003,13.04%
June 30 2003,12.75%
March 31 2003,13.01%
Dec. 31 2002,12.99%
Sept. 30 2002,13.97%
June 30 2002,15.38%
March 31 2002,17.78%
Dec. 31 2001,19.15%
Sept. 30 2001,18.68%
June 30 2001,17.76%
March 31 2001,16.13%
Dec. 31 2000,14.67%
Sept. 30 2000,13.79%
June 30 2000,13.89%
March 31 2000,13.52%
Dec. 31 1999,13.48%
Sept. 30 1999,13.59%
June 30 1999,13.35%
March 31 1999,13.68%
Dec. 31 1998,13.82%
Sept. 30 1998,14.82%
June 30 1998,16.01%
March 31 1998,16.26%
