Dec. 31 2017,-22.92%
Sept. 30 2017,-26.15%
June 30 2017,-23.01%
March 31 2017,-21.81%
Dec. 31 2016,-6.64%
Sept. 30 2016,-4.74%
June 30 2016,-6.30%
March 31 2016,-6.85%
Dec. 31 2015,-6.35%
Sept. 30 2015,-1.36%
June 30 2015,1.94%
March 31 2015,4.52%
Dec. 31 2014,8.44%
Sept. 30 2014,6.92%
June 30 2014,7.37%
March 31 2014,7.09%
Dec. 31 2013,4.96%
Sept. 30 2013,4.84%
June 30 2013,4.59%
March 31 2013,4.58%
Dec. 31 2012,4.78%
Sept. 30 2012,5.63%
June 30 2012,5.64%
March 31 2012,6.72%
Dec. 31 2011,7.58%
Sept. 30 2011,7.35%
June 30 2011,7.44%
March 31 2011,6.34%
Dec. 31 2010,5.34%
Sept. 30 2010,4.70%
June 30 2010,4.17%
March 31 2010,3.59%
Dec. 31 2009,3.28%
Sept. 30 2009,2.37%
June 30 2009,5.96%
March 31 2009,6.74%
Dec. 31 2008,7.74%
Sept. 30 2008,9.58%
June 30 2008,7.76%
March 31 2008,10.53%
Dec. 31 2007,11.33%
Sept. 30 2007,13.43%
June 30 2007,15.81%
March 31 2007,17.07%
Dec. 31 2006,17.63%
Sept. 30 2006,18.88%
June 30 2006,16.33%
March 31 2006,13.12%
Dec. 31 2005,15.99%
Sept. 30 2005,14.67%
June 30 2005,12.91%
March 31 2005,12.23%
Dec. 31 2004,7.34%
Sept. 30 2004,6.42%
June 30 2004,6.92%
March 31 2004,6.58%
Dec. 31 2003,7.03%
Sept. 30 2003,5.60%
June 30 2003,4.61%
March 31 2003,4.26%
Dec. 31 2002,3.00%
Sept. 30 2002,-4.47%
June 30 2002,-4.05%
March 31 2002,-1.76%
Dec. 31 2001,0.99%
Sept. 30 2001,5.67%
June 30 2001,5.32%
March 31 2001,4.18%
Dec. 31 2000,2.58%
Sept. 30 2000,5.73%
June 30 2000,6.53%
March 31 2000,5.16%
Dec. 31 1999,4.35%
Sept. 30 1999,2.66%
June 30 1999,1.48%
March 31 1999,1.70%
Dec. 31 1998,2.27%
Sept. 30 1998,3.39%
June 30 1998,4.87%
March 31 1998,4.86%
