Dec. 31 2017,-43.35%
Sept. 30 2017,-48.25%
June 30 2017,-41.31%
March 31 2017,-38.21%
Dec. 31 2016,-11.44%
Sept. 30 2016,-8.19%
June 30 2016,-10.97%
March 31 2016,-11.90%
Dec. 31 2015,-11.04%
Sept. 30 2015,-2.39%
June 30 2015,3.41%
March 31 2015,7.98%
Dec. 31 2014,15.19%
Sept. 30 2014,12.70%
June 30 2014,13.57%
March 31 2014,13.15%
Dec. 31 2013,9.30%
Sept. 30 2013,9.14%
June 30 2013,8.62%
March 31 2013,8.58%
Dec. 31 2012,8.91%
Sept. 30 2012,10.37%
June 30 2012,10.27%
March 31 2012,12.75%
Dec. 31 2011,14.87%
Sept. 30 2011,14.74%
June 30 2011,15.24%
March 31 2011,13.29%
Dec. 31 2010,11.25%
Sept. 30 2010,9.86%
June 30 2010,8.72%
March 31 2010,7.48%
Dec. 31 2009,6.73%
Sept. 30 2009,4.91%
June 30 2009,12.73%
March 31 2009,14.71%
Dec. 31 2008,17.24%
Sept. 30 2008,21.70%
June 30 2008,17.45%
March 31 2008,23.03%
Dec. 31 2007,24.38%
Sept. 30 2007,28.60%
June 30 2007,33.96%
March 31 2007,37.17%
Dec. 31 2006,39.40%
Sept. 30 2006,43.39%
June 30 2006,39.40%
March 31 2006,33.04%
Dec. 31 2005,42.18%
Sept. 30 2005,40.08%
June 30 2005,36.48%
March 31 2005,34.88%
Dec. 31 2004,21.40%
Sept. 30 2004,19.21%
June 30 2004,21.45%
March 31 2004,21.30%
Dec. 31 2003,23.88%
Sept. 30 2003,19.36%
June 30 2003,16.14%
March 31 2003,14.93%
Dec. 31 2002,10.35%
Sept. 30 2002,-14.56%
June 30 2002,-12.55%
March 31 2002,-5.28%
Dec. 31 2001,2.92%
Sept. 30 2001,16.50%
June 30 2001,16.01%
March 31 2001,12.94%
Dec. 31 2000,8.15%
Sept. 30 2000,18.24%
June 30 2000,21.15%
March 31 2000,16.97%
Dec. 31 1999,14.49%
Sept. 30 1999,9.14%
June 30 1999,5.20%
March 31 1999,6.07%
Dec. 31 1998,7.95%
Sept. 30 1998,11.54%
June 30 1998,15.67%
March 31 1998,14.88%
