Feb. 1 2018,9.265M
Jan. 31 2018,9.552M
Jan. 30 2018,11.74M
Jan. 29 2018,7.503M
Jan. 26 2018,8.828M
Jan. 25 2018,9.247M
Jan. 24 2018,10.88M
Jan. 23 2018,11.87M
Jan. 22 2018,13.33M
Jan. 19 2018,7.584M
Jan. 18 2018,9.790M
Jan. 17 2018,19.70M
Jan. 16 2018,13.75M
Jan. 12 2018,10.31M
Jan. 11 2018,13.18M
Jan. 10 2018,7.547M
Jan. 9 2018,11.80M
Jan. 8 2018,6.861M
Jan. 5 2018,11.74M
Jan. 4 2018,13.67M
Jan. 3 2018,10.68M
Jan. 2 2018,7.899M
Dec. 29 2017,7.102M
Dec. 28 2017,8.141M
Dec. 27 2017,7.450M
Dec. 26 2017,9.344M
Dec. 22 2017,9.346M
Dec. 21 2017,15.48M
Dec. 20 2017,13.84M
Dec. 19 2017,14.49M
Dec. 18 2017,13.86M
Dec. 15 2017,16.44M
Dec. 14 2017,9.190M
Dec. 13 2017,14.74M
Dec. 12 2017,10.89M
Dec. 11 2017,10.27M
Dec. 8 2017,8.360M
Dec. 7 2017,7.955M
Dec. 6 2017,10.75M
Dec. 5 2017,13.39M
Dec. 4 2017,13.11M
Dec. 1 2017,18.22M
Nov. 30 2017,18.60M
Nov. 29 2017,9.352M
Nov. 28 2017,10.25M
Nov. 27 2017,11.34M
Nov. 24 2017,6.794M
Nov. 22 2017,20.23M
Nov. 21 2017,11.68M
Nov. 20 2017,14.00M
Nov. 17 2017,10.47M
Nov. 16 2017,13.77M
Nov. 15 2017,13.35M
Nov. 14 2017,14.69M
Nov. 13 2017,9.099M
Nov. 10 2017,11.44M
Nov. 9 2017,13.22M
Nov. 8 2017,17.95M
Nov. 7 2017,17.77M
Nov. 6 2017,23.67M
Nov. 3 2017,17.31M
Nov. 2 2017,22.50M
Nov. 1 2017,17.03M
Oct. 31 2017,13.85M
Oct. 30 2017,18.83M
Oct. 27 2017,9.053M
Oct. 26 2017,11.04M
Oct. 25 2017,11.23M
Oct. 24 2017,12.11M
Oct. 23 2017,8.667M
Oct. 20 2017,7.456M
Oct. 19 2017,7.331M
Oct. 18 2017,9.874M
Oct. 17 2017,9.201M
Oct. 16 2017,11.37M
Oct. 13 2017,11.38M
Oct. 12 2017,6.870M
Oct. 11 2017,7.727M
Oct. 10 2017,9.912M
Oct. 9 2017,6.953M
Oct. 6 2017,7.779M
Oct. 5 2017,11.09M
Oct. 4 2017,14.32M
Oct. 3 2017,9.736M
Oct. 2 2017,11.02M
Sept. 29 2017,14.51M
Sept. 28 2017,19.31M
Sept. 27 2017,21.63M
Sept. 26 2017,14.91M
Sept. 25 2017,10.77M
Sept. 22 2017,11.86M
Sept. 21 2017,18.56M
Sept. 20 2017,15.74M
Sept. 19 2017,7.782M
Sept. 18 2017,10.07M
Sept. 15 2017,11.33M
Sept. 14 2017,13.86M
Sept. 13 2017,14.82M
Sept. 12 2017,8.871M
Sept. 11 2017,8.547M
Sept. 8 2017,18.65M
Sept. 7 2017,10.87M
Sept. 6 2017,16.72M
Sept. 5 2017,11.14M
