
Feb. 1, 2018  44.76  
Jan. 31, 2018  44.10  
Jan. 30, 2018  43.98  
Jan. 29, 2018  44.85  
Jan. 26, 2018  45.40  
Jan. 25, 2018  45.14  
Jan. 24, 2018  45.62  
Jan. 23, 2018  45.54  
Jan. 22, 2018  45.66  
Jan. 19, 2018  44.44  
Jan. 18, 2018  44.35  
Jan. 17, 2018  44.62  
Jan. 16, 2018  44.28  
Jan. 12, 2018  45.02  
Jan. 11, 2018  44.60  
Jan. 10, 2018  43.68  
Jan. 9, 2018  44.05  
Jan. 8, 2018  44.23  
Jan. 5, 2018  43.85  
Jan. 4, 2018  44.09  
Jan. 3, 2018  44.12  
Jan. 2, 2018  43.52  
Dec. 29, 2017  103.75  
Dec. 28, 2017  103.80  
Dec. 27, 2017  103.27  
Dec. 26, 2017  103.58  
Dec. 22, 2017  102.80  
Dec. 21, 2017  102.23  
Dec. 20, 2017  101.24  
Dec. 19, 2017  99.86  
Dec. 18, 2017  99.96  
Dec. 15, 2017  99.46  
Dec. 14, 2017  99.37  
Dec. 13, 2017  98.55  
Dec. 12, 2017  98.63  
Dec. 11, 2017  97.89  
Dec. 8, 2017  97.00  
Dec. 7, 2017  97.76  
Dec. 6, 2017  97.56  
Dec. 5, 2017  98.59  
Dec. 4, 2017  98.68  
Dec. 1, 2017  98.93  
Nov. 30, 2017  99.30  
Nov. 29, 2017  98.45  
Nov. 28, 2017  97.13  
Nov. 27, 2017  95.89  
Nov. 24, 2017  96.37  
Nov. 22, 2017  96.10  
Nov. 21, 2017  95.61  
Nov. 20, 2017  95.51  
Nov. 17, 2017  96.34  
Nov. 16, 2017  94.61  
Nov. 15, 2017  93.90  
Nov. 14, 2017  94.82  
Nov. 13, 2017  95.68  
Nov. 10, 2017  96.01  
Nov. 9, 2017  96.76  
Nov. 8, 2017  96.01  
Nov. 7, 2017  96.83  
Nov. 6, 2017  96.93  
Nov. 3, 2017  96.14  
Nov. 2, 2017  95.63  
Nov. 1, 2017  92.20  
Oct. 31, 2017  90.94  
Oct. 30, 2017  91.49  
Oct. 27, 2017  91.62  
Oct. 26, 2017  91.01  
Oct. 25, 2017  92.04  
Oct. 24, 2017  92.70  
Oct. 23, 2017  91.62  
Oct. 20, 2017  92.21  
Oct. 19, 2017  91.32  
Oct. 18, 2017  91.03  
Oct. 17, 2017  91.04  
Oct. 16, 2017  91.23  
Oct. 13, 2017  91.17  
Oct. 12, 2017  90.45  
Oct. 11, 2017  90.69  
Oct. 10, 2017  90.85  
Oct. 9, 2017  90.14  
Oct. 6, 2017  90.01  
Oct. 5, 2017  90.63  
Oct. 4, 2017  90.69  
Oct. 3, 2017  90.11  
Oct. 2, 2017  90.30  
Sept. 29, 2017  458.64  
Sept. 28, 2017  464.07  
Sept. 27, 2017  465.64  
Sept. 26, 2017  460.29  
Sept. 25, 2017  461.29  
Sept. 22, 2017  449.57  
Sept. 21, 2017  448.21  
Sept. 20, 2017  446.36  
Sept. 19, 2017  441.86  
Sept. 18, 2017  441.43  
Sept. 15, 2017  438.21  
Sept. 14, 2017  439.86  
Sept. 13, 2017  439.64  
Sept. 12, 2017  434.14  
Sept. 11, 2017  431.50  
Sept. 8, 2017  430.29  
Sept. 7, 2017  441.86  
Sept. 6, 2017  440.14  
Sept. 5, 2017  433.71  
Sept. 1, 2017  426.79  
Aug. 31, 2017  426.43  
Aug. 30, 2017  422.64  
Aug. 29, 2017  422.00  
Aug. 28, 2017  422.36  
Aug. 25, 2017  423.00  
Aug. 24, 2017  422.36  
Aug. 23, 2017  425.71  
Aug. 22, 2017  422.57  
Aug. 21, 2017  420.29  
Aug. 18, 2017  422.50  
Aug. 17, 2017  420.86  
Aug. 16, 2017  426.43  
Aug. 15, 2017  433.00  
Aug. 14, 2017  437.43  
Aug. 11, 2017  436.64  
Aug. 10, 2017  438.14  
Aug. 9, 2017  440.43  
Aug. 8, 2017  438.21  
Aug. 7, 2017  441.64  
Aug. 4, 2017  443.50  
Aug. 3, 2017  439.64  
Aug. 2, 2017  438.36  
Aug. 1, 2017  439.50  
July 31, 2017  442.36  
July 28, 2017  448.07  
July 27, 2017  443.86  
July 26, 2017  439.93  
July 25, 2017  435.79  
July 24, 2017  424.36  
July 21, 2017  428.79  
July 20, 2017  434.93  
July 19, 2017  434.93  
July 18, 2017  430.29  
July 17, 2017  428.86  
July 14, 2017  427.29  
July 13, 2017  425.00  
July 12, 2017  422.57  
July 11, 2017  421.00  
July 10, 2017  419.79  
July 7, 2017  419.14  
July 6, 2017  420.50  
July 5, 2017  426.79  
July 3, 2017  437.57  
June 30, 2017  427.64  
June 29, 2017    
June 28, 2017    
June 27, 2017    
June 26, 2017    
June 23, 2017    
June 22, 2017    
June 21, 2017    
June 20, 2017    
June 19, 2017    
June 16, 2017    
June 15, 2017    
June 14, 2017    
June 13, 2017    
June 12, 2017    
June 9, 2017    
June 8, 2017    
June 7, 2017    
June 6, 2017    
June 5, 2017    
June 2, 2017    
June 1, 2017    
May 31, 2017    
May 30, 2017    
May 26, 2017    
May 25, 2017    
May 24, 2017    
May 23, 2017    
May 22, 2017    
May 19, 2017    
May 18, 2017    
May 17, 2017    
May 16, 2017    
May 15, 2017    
May 12, 2017    
May 11, 2017    
May 10, 2017    
May 9, 2017    
May 8, 2017    
May 5, 2017    
May 4, 2017    
May 3, 2017    
May 2, 2017    
May 1, 2017    
April 28, 2017    
April 27, 2017    
April 26, 2017    
April 25, 2017    
April 24, 2017    
April 21, 2017    
April 20, 2017    
April 19, 2017    
April 18, 2017    
April 17, 2017    
April 13, 2017    
April 12, 2017    
April 11, 2017    
April 10, 2017    
April 7, 2017    
April 6, 2017    
April 5, 2017    
April 4, 2017    
April 3, 2017    
March 31, 2017    
March 30, 2017    
March 29, 2017    
March 28, 2017    
March 27, 2017    
March 24, 2017    
March 23, 2017    
March 22, 2017    
March 21, 2017    
March 20, 2017    
March 17, 2017    
March 16, 2017    
March 15, 2017    
March 14, 2017    
March 13, 2017    
March 10, 2017    
March 9, 2017    
March 8, 2017    
March 7, 2017    
March 6, 2017    
March 3, 2017    
March 2, 2017    
March 1, 2017    
Feb. 28, 2017    
Feb. 27, 2017    
Feb. 24, 2017    
Feb. 23, 2017    
Feb. 22, 2017    
Feb. 21, 2017    
Feb. 17, 2017    
Feb. 16, 2017    
Feb. 15, 2017    
Feb. 14, 2017    
Feb. 13, 2017    
Feb. 10, 2017    
Feb. 9, 2017    
Feb. 8, 2017    
Feb. 7, 2017    
Feb. 6, 2017    
Feb. 3, 2017    
Feb. 2, 2017    
Feb. 1, 2017    
Jan. 31, 2017    
Jan. 30, 2017    
Jan. 27, 2017    
Jan. 26, 2017    
Jan. 25, 2017    
Jan. 24, 2017    
Jan. 23, 2017    
Jan. 20, 2017    
Jan. 19, 2017    
Jan. 18, 2017    
Jan. 17, 2017    
Jan. 13, 2017    
Jan. 12, 2017    
Jan. 11, 2017    
Jan. 10, 2017    
Jan. 9, 2017    
Jan. 6, 2017    
Jan. 5, 2017    
Jan. 4, 2017    
Jan. 3, 2017    
Dec. 30, 2016    
Dec. 29, 2016    
Dec. 28, 2016    
Dec. 27, 2016    
Dec. 23, 2016    
Dec. 22, 2016    
Dec. 21, 2016    
Dec. 20, 2016    
Dec. 19, 2016    
Dec. 16, 2016    
Dec. 15, 2016    
Dec. 14, 2016    
Dec. 13, 2016    
Dec. 12, 2016    
Dec. 9, 2016    
Dec. 8, 2016    
Dec. 7, 2016    
Dec. 6, 2016    
Dec. 5, 2016    
Dec. 2, 2016    
Dec. 1, 2016    
Nov. 30, 2016    
Nov. 29, 2016    
Nov. 28, 2016    
Nov. 25, 2016    
Nov. 23, 2016    
Nov. 22, 2016    
Nov. 21, 2016    
Nov. 18, 2016    
Nov. 17, 2016    
Nov. 16, 2016    
Nov. 15, 2016    
Nov. 14, 2016    
Nov. 11, 2016    
Nov. 10, 2016    
Nov. 9, 2016    
Nov. 8, 2016    
Nov. 7, 2016    
Nov. 4, 2016    
Nov. 3, 2016    
Nov. 2, 2016    
Nov. 1, 2016    
Oct. 31, 2016    
Oct. 28, 2016    
Oct. 27, 2016    
Oct. 26, 2016    
Oct. 25, 2016    
Oct. 24, 2016    
Oct. 21, 2016    
Oct. 20, 2016    
Oct. 19, 2016    
Oct. 18, 2016    
Oct. 17, 2016    
Oct. 14, 2016    
Oct. 13, 2016    
Oct. 12, 2016    
Oct. 11, 2016    
Oct. 10, 2016    
Oct. 7, 2016    
Oct. 6, 2016    
Oct. 5, 2016    
Oct. 4, 2016    
Oct. 3, 2016    
Sept. 30, 2016    
Sept. 29, 2016    
Sept. 28, 2016    
Sept. 27, 2016    
Sept. 26, 2016    
Sept. 23, 2016    
Sept. 22, 2016    
Sept. 21, 2016    
Sept. 20, 2016    
Sept. 19, 2016    
Sept. 16, 2016    
Sept. 15, 2016    
Sept. 14, 2016    
Sept. 13, 2016    
Sept. 12, 2016    
Sept. 9, 2016    
Sept. 8, 2016    
Sept. 7, 2016    
Sept. 6, 2016    
Sept. 2, 2016    
Sept. 1, 2016    
Aug. 31, 2016    
Aug. 30, 2016    
Aug. 29, 2016    
Aug. 26, 2016    
Aug. 25, 2016    
Aug. 24, 2016    
Aug. 23, 2016    
Aug. 22, 2016    
Aug. 19, 2016    
Aug. 18, 2016    
Aug. 17, 2016    
Aug. 16, 2016    
Aug. 15, 2016    
Aug. 12, 2016    
Aug. 11, 2016    
Aug. 10, 2016    
Aug. 9, 2016    
Aug. 8, 2016    
Aug. 5, 2016    
Aug. 4, 2016    
Aug. 3, 2016    
Aug. 2, 2016    
Aug. 1, 2016    
July 29, 2016    
July 28, 2016    
July 27, 2016    
July 26, 2016    
July 25, 2016    
July 22, 2016    
July 21, 2016    
July 20, 2016    
July 19, 2016    
July 18, 2016    
July 15, 2016    
July 14, 2016    
July 13, 2016    
July 12, 2016    
July 11, 2016    
July 8, 2016    
July 7, 2016    
July 6, 2016    
July 5, 2016    
July 1, 2016    
June 30, 2016    
June 29, 2016    
June 28, 2016    
June 27, 2016    
June 24, 2016    
June 23, 2016    
June 22, 2016    
June 21, 2016    
June 20, 2016    
June 17, 2016    
June 16, 2016    
June 15, 2016    
June 14, 2016    
June 13, 2016    
June 10, 2016    
June 9, 2016    
June 8, 2016    
June 7, 2016    
June 6, 2016    
June 3, 2016    
June 2, 2016    
June 1, 2016    
May 31, 2016    
May 27, 2016    
May 26, 2016    
May 25, 2016    
May 24, 2016    
May 23, 2016    
May 20, 2016    
May 19, 2016    
May 18, 2016    
May 17, 2016    
May 16, 2016    
May 13, 2016    
May 12, 2016    
May 11, 2016    
May 10, 2016    
May 9, 2016    
May 6, 2016    
May 5, 2016    
May 4, 2016    
May 3, 2016    
May 2, 2016    
April 29, 2016    
April 28, 2016    
April 27, 2016    
April 26, 2016    
April 25, 2016    
April 22, 2016    
April 21, 2016    
April 20, 2016    
April 19, 2016    
April 18, 2016    
April 15, 2016    
April 14, 2016    
April 13, 2016    
April 12, 2016    
April 11, 2016    
April 8, 2016    
April 7, 2016    
April 6, 2016    
April 5, 2016    
April 4, 2016    
April 1, 2016    
March 31, 2016    
March 30, 2016    
March 29, 2016    
March 28, 2016    
March 24, 2016    
March 23, 2016    
March 22, 2016    
March 21, 2016    
March 18, 2016    
March 17, 2016    
March 16, 2016    
March 15, 2016    
March 14, 2016    
March 11, 2016    
March 10, 2016    
March 9, 2016    
March 8, 2016    
March 7, 2016    
March 4, 2016    
March 3, 2016    
March 2, 2016    
March 1, 2016    
Feb. 29, 2016    
Feb. 26, 2016    
Feb. 25, 2016    
Feb. 24, 2016    
Feb. 23, 2016    
Feb. 22, 2016    
Feb. 19, 2016    
Feb. 18, 2016    
Feb. 17, 2016    
Feb. 16, 2016    
Feb. 12, 2016    
Feb. 11, 2016    
Feb. 10, 2016    
Feb. 9, 2016    
Feb. 8, 2016    
Feb. 5, 2016    
Feb. 4, 2016    
Feb. 3, 2016    
Feb. 2, 2016    
Feb. 1, 2016    
Jan. 29, 2016    
Jan. 28, 2016    
Jan. 27, 2016    
Jan. 26, 2016    
Jan. 25, 2016    
Jan. 22, 2016    
Jan. 21, 2016    
Jan. 20, 2016    
Jan. 19, 2016    
Jan. 15, 2016    
Jan. 14, 2016    
Jan. 13, 2016    
Jan. 12, 2016    
Jan. 11, 2016    
Jan. 8, 2016    
Jan. 7, 2016    
Jan. 6, 2016    
Jan. 5, 2016    
Jan. 4, 2016    
Dec. 31, 2015    
Dec. 30, 2015    
Dec. 29, 2015    
Dec. 28, 2015    
Dec. 24, 2015    
Dec. 23, 2015    
Dec. 22, 2015    
Dec. 21, 2015    
Dec. 18, 2015    
Dec. 17, 2015    
Dec. 16, 2015    
Dec. 15, 2015    
Dec. 14, 2015    
Dec. 11, 2015    
Dec. 10, 2015    
Dec. 9, 2015    
Dec. 8, 2015    
Dec. 7, 2015    
Dec. 4, 2015    
Dec. 3, 2015    
Dec. 2, 2015    
Dec. 1, 2015    
Nov. 30, 2015    
Nov. 27, 2015    
Nov. 25, 2015    
Nov. 24, 2015    
Nov. 23, 2015    
Nov. 20, 2015    
Nov. 19, 2015    
Nov. 18, 2015    
Nov. 17, 2015    
Nov. 16, 2015    
Nov. 13, 2015    
Nov. 12, 2015    
Nov. 11, 2015    
Nov. 10, 2015    
Nov. 9, 2015    
Nov. 6, 2015    
Nov. 5, 2015    
Nov. 4, 2015    
Nov. 3, 2015    
Nov. 2, 2015    
Oct. 30, 2015    
Oct. 29, 2015    
Oct. 28, 2015    
Oct. 27, 2015    
Oct. 26, 2015    
Oct. 23, 2015    
Oct. 22, 2015    
Oct. 21, 2015    
Oct. 20, 2015    
Oct. 19, 2015    
Oct. 16, 2015    
Oct. 15, 2015    
Oct. 14, 2015    
Oct. 13, 2015    
Oct. 12, 2015    
Oct. 9, 2015    
Oct. 8, 2015    
Oct. 7, 2015    
Oct. 6, 2015    
Oct. 5, 2015    
Oct. 2, 2015    
Oct. 1, 2015    
Sept. 30, 2015    
Sept. 29, 2015    
Sept. 28, 2015    
Sept. 25, 2015    
Sept. 24, 2015    
Sept. 23, 2015    
Sept. 22, 2015    
Sept. 21, 2015    
Sept. 18, 2015    
Sept. 17, 2015    
Sept. 16, 2015    
Sept. 15, 2015    
Sept. 14, 2015    
Sept. 11, 2015    
Sept. 10, 2015    
Sept. 9, 2015    
Sept. 8, 2015    
Sept. 4, 2015    
Sept. 3, 2015    
Sept. 2, 2015    
Sept. 1, 2015    
Aug. 31, 2015    
Aug. 28, 2015    
Aug. 27, 2015    
Aug. 26, 2015    
Aug. 25, 2015    
Aug. 24, 2015    
Aug. 21, 2015    
Aug. 20, 2015    
Aug. 19, 2015    
Aug. 18, 2015    
Aug. 17, 2015    
Aug. 14, 2015    
Aug. 13, 2015    
Aug. 12, 2015    
Aug. 11, 2015    
Aug. 10, 2015    
Aug. 7, 2015    
Aug. 6, 2015    
Aug. 5, 2015    
Aug. 4, 2015    
Aug. 3, 2015    
July 31, 2015    
July 30, 2015    
July 29, 2015    
July 28, 2015    
July 27, 2015    
July 24, 2015    
July 23, 2015    
July 22, 2015    
July 21, 2015    
July 20, 2015    
July 17, 2015    
July 16, 2015    
July 15, 2015    
July 14, 2015    
July 13, 2015    
July 10, 2015    
July 9, 2015    
July 8, 2015    
July 7, 2015    
July 6, 2015    
July 2, 2015    
July 1, 2015    
June 30, 2015    
June 29, 2015    
June 26, 2015    
June 25, 2015    
June 24, 2015    
June 23, 2015    
June 22, 2015    
June 19, 2015    
June 18, 2015    
June 17, 2015    
June 16, 2015    
June 15, 2015    
June 12, 2015    
June 11, 2015    
June 10, 2015    
June 9, 2015    
June 8, 2015    
June 5, 2015    
June 4, 2015    
June 3, 2015    
June 2, 2015    
June 1, 2015    
May 29, 2015    
May 28, 2015    
May 27, 2015    
May 26, 2015    
May 22, 2015    
May 21, 2015    
May 20, 2015    
May 19, 2015    
May 18, 2015    
May 15, 2015    
May 14, 2015    
May 13, 2015    
May 12, 2015    
May 11, 2015    
May 8, 2015    
May 7, 2015    
May 6, 2015    
May 5, 2015    
May 4, 2015    
May 1, 2015    
April 30, 2015    
April 29, 2015    
April 28, 2015    
April 27, 2015    
April 24, 2015    
April 23, 2015    
April 22, 2015    
April 21, 2015    
April 20, 2015    
April 17, 2015    
April 16, 2015    
April 15, 2015    
April 14, 2015    
April 13, 2015    
April 10, 2015    
April 9, 2015    
April 8, 2015    
April 7, 2015    
April 6, 2015    
April 2, 2015    
April 1, 2015    
March 31, 2015    
March 30, 2015  94.81  
March 27, 2015  93.19  
March 26, 2015  94.49  
March 25, 2015  94.47  
March 24, 2015  92.85  
March 23, 2015  93.37  
March 20, 2015  93.19  
March 19, 2015  92.10  
March 18, 2015  94.85  
March 17, 2015  92.73  
March 16, 2015  93.69  
March 13, 2015  93.35  
March 12, 2015  95.58  
March 11, 2015  95.17  
March 10, 2015  94.60  
March 9, 2015  95.86  
March 6, 2015  95.82  
March 5, 2015  99.31  
March 4, 2015  100.38  
March 3, 2015  99.97  
March 2, 2015  99.63  
Feb. 27, 2015  99.81  
Feb. 26, 2015  100.37  
Feb. 25, 2015  102.79  
Feb. 24, 2015  102.20  
Feb. 23, 2015  102.27  
Feb. 20, 2015  102.65  
Feb. 19, 2015  103.30  
Feb. 18, 2015  104.28  
Feb. 17, 2015  105.76  
Feb. 13, 2015  106.51  
Feb. 12, 2015  105.14  
Feb. 11, 2015  102.50  
Feb. 10, 2015  104.20  
Feb. 9, 2015  104.14  
Feb. 6, 2015  104.77  
Feb. 5, 2015  105.24  
Feb. 4, 2015  103.61  
Feb. 3, 2015  105.28  
Feb. 2, 2015  102.73  
Jan. 30, 2015  102.52  
Jan. 29, 2015  100.36  
Jan. 28, 2015  98.04  
Jan. 27, 2015  101.77  
Jan. 26, 2015  102.93  
Jan. 23, 2015  101.05  
Jan. 22, 2015  101.06  
Jan. 21, 2015  101.55  
Jan. 20, 2015  99.97  
Jan. 16, 2015  100.04  
Jan. 15, 2015  97.38  
Jan. 14, 2015  96.73  
Jan. 13, 2015  96.08  
Jan. 12, 2015  96.05  
Jan. 9, 2015  99.37  
Jan. 8, 2015  99.56  
Jan. 7, 2015  98.69  
Jan. 6, 2015  98.68  
Jan. 5, 2015  99.52  
Jan. 2, 2015  103.36  
Dec. 31, 2014  103.30  
Dec. 30, 2014  11.36  
Dec. 29, 2014  11.41  
Dec. 26, 2014  11.45  
Dec. 24, 2014  11.48  
Dec. 23, 2014  11.57  
Dec. 22, 2014  11.28  
Dec. 19, 2014  11.38  
Dec. 18, 2014  11.05  
Dec. 17, 2014  10.86  
Dec. 16, 2014  10.39  
Dec. 15, 2014  10.21  
Dec. 12, 2014  10.36  
Dec. 11, 2014  10.48  
Dec. 10, 2014  10.49  
Dec. 9, 2014  10.81  
Dec. 8, 2014  10.63  
Dec. 5, 2014  11.38  
Dec. 4, 2014  11.52  
Dec. 3, 2014  11.60  
Dec. 2, 2014  11.26  
Dec. 1, 2014  11.09  
Nov. 28, 2014  10.69  
Nov. 26, 2014  11.54  
Nov. 25, 2014  11.57  
Nov. 24, 2014  11.82  
Nov. 21, 2014  11.74  
Nov. 20, 2014  11.64  
Nov. 19, 2014  11.53  
Nov. 18, 2014  11.61  
Nov. 17, 2014  11.51  
Nov. 14, 2014  11.61  
Nov. 13, 2014  11.56  
Nov. 12, 2014  11.87  
Nov. 11, 2014  11.94  
Nov. 10, 2014  11.78  
Nov. 7, 2014  11.80  
Nov. 6, 2014  11.58  
Nov. 5, 2014  11.58  
Nov. 4, 2014  11.43  
Nov. 3, 2014  11.67  
Oct. 31, 2014  12.42  
Oct. 30, 2014  11.78  
Oct. 29, 2014  11.90  
Oct. 28, 2014  11.81  
Oct. 27, 2014  11.58  
Oct. 24, 2014  11.99  
Oct. 23, 2014  12.19  
Oct. 22, 2014  12.02  
Oct. 21, 2014  12.20  
Oct. 20, 2014  11.89  
Oct. 17, 2014  11.84  
Oct. 16, 2014  11.58  
Oct. 15, 2014  11.42  
Oct. 14, 2014  11.60  
Oct. 13, 2014  11.78  
Oct. 10, 2014  12.27  
Oct. 9, 2014  12.40  
Oct. 8, 2014  12.80  
Oct. 7, 2014  12.71  
Oct. 6, 2014  13.01  
Oct. 3, 2014  12.86  
Oct. 2, 2014  12.76  
Oct. 1, 2014  12.63  
Sept. 30, 2014  12.88  
Sept. 29, 2014  12.32  
Sept. 26, 2014  12.46  
Sept. 25, 2014  12.26  
Sept. 24, 2014  12.47  
Sept. 23, 2014  12.22  
Sept. 22, 2014  12.28  
Sept. 19, 2014  12.38  
Sept. 18, 2014  12.40  
Sept. 17, 2014  12.44  
Sept. 16, 2014  12.49  
Sept. 15, 2014  12.46  
Sept. 12, 2014  12.34  
Sept. 11, 2014  12.46  
Sept. 10, 2014  12.49  
Sept. 9, 2014  12.46  
Sept. 8, 2014  12.49  
Sept. 5, 2014  12.84  
Sept. 4, 2014  12.97  
Sept. 3, 2014  12.98  
Sept. 2, 2014  12.97  
Aug. 29, 2014  13.14  
Aug. 28, 2014  13.18  
Aug. 27, 2014  13.10  
Aug. 26, 2014  13.07  
Aug. 25, 2014  13.09  
Aug. 22, 2014  12.98  
Aug. 21, 2014  12.96  
Aug. 20, 2014  12.89  
Aug. 19, 2014  12.90  
Aug. 18, 2014  12.75  
Aug. 15, 2014  12.73  
Aug. 14, 2014  12.67  
Aug. 13, 2014  12.67  
Aug. 12, 2014  12.65  
Aug. 11, 2014  12.64  
Aug. 8, 2014  12.65  
Aug. 7, 2014  12.46  
Aug. 6, 2014  12.60  
Aug. 5, 2014  12.56  
Aug. 4, 2014  12.77  
Aug. 1, 2014  12.40  
July 31, 2014  12.38  
July 30, 2014  12.43  
July 29, 2014  12.59  
July 28, 2014  12.65  
July 25, 2014  12.68  
July 24, 2014  12.78  
July 23, 2014  12.87  
July 22, 2014  12.83  
July 21, 2014  12.75  
July 18, 2014  12.79  
July 17, 2014  12.67  
July 16, 2014  12.89  
July 15, 2014  12.61  
July 14, 2014  12.83  
July 11, 2014  12.73  
July 10, 2014  12.72  
July 9, 2014  12.92  
July 8, 2014  12.91  
July 7, 2014  12.87  
July 3, 2014  12.95  
July 2, 2014  12.96  
July 1, 2014  13.03  
June 30, 2014  13.00  
June 27, 2014  13.27  
June 26, 2014  13.32  
June 25, 2014  13.32  
June 24, 2014  13.17  
June 23, 2014  13.65  
June 20, 2014  13.50  
June 19, 2014  13.42  
June 18, 2014  13.40  
June 17, 2014  13.34  
June 16, 2014  13.42  
June 13, 2014  13.40  
June 12, 2014  13.14  
June 11, 2014  12.97  
June 10, 2014  12.98  
June 9, 2014  13.00  
June 6, 2014  13.03  
June 5, 2014  13.10  
June 4, 2014  13.00  
June 3, 2014  13.01  
June 2, 2014  12.95  
May 30, 2014  12.94  
May 29, 2014  12.96  
May 28, 2014  12.86  
May 27, 2014  12.65  
May 23, 2014  12.59  
May 22, 2014  12.62  
May 21, 2014  12.67  
May 20, 2014  12.39  
May 19, 2014  12.45  
May 16, 2014  12.42  
May 15, 2014  12.60  
May 14, 2014  12.64  
May 13, 2014  12.66  
May 12, 2014  12.52  
May 9, 2014  12.48  
May 8, 2014  12.36  
May 7, 2014  12.49  
May 6, 2014  12.44  
May 5, 2014  12.29  
May 2, 2014  12.26  
May 1, 2014  12.33  
April 30, 2014  12.43  
April 29, 2014  12.57  
April 28, 2014  12.55  
April 25, 2014  12.51  
April 24, 2014  12.61  
April 23, 2014  12.56  
April 22, 2014  12.58  
April 21, 2014  12.65  
April 17, 2014  12.54  
April 16, 2014  12.44  
April 15, 2014  12.32  
April 14, 2014  12.24  
April 11, 2014  12.11  
April 10, 2014  12.26  
April 9, 2014  12.46  
April 8, 2014  12.32  
April 7, 2014  12.15  
April 4, 2014  12.27  
April 3, 2014  12.53  
April 2, 2014  12.46  
April 1, 2014  12.32  
March 31, 2014  12.37  
March 28, 2014  12.52  
March 27, 2014  12.40  
March 26, 2014  12.26  
March 25, 2014  12.40  
March 24, 2014  12.30  
March 21, 2014  12.33  
March 20, 2014  12.18  
March 19, 2014  12.47  
March 18, 2014  12.75  
March 17, 2014  12.69  
March 14, 2014  12.65  
March 13, 2014  12.56  
March 12, 2014  12.63  
March 11, 2014  12.63  
March 10, 2014  12.74  
March 7, 2014  12.73  
March 6, 2014  12.62  
March 5, 2014  12.69  
March 4, 2014  12.74  
March 3, 2014  12.59  
Feb. 28, 2014  12.65  
Feb. 27, 2014  12.52  
Feb. 26, 2014  12.48  
Feb. 25, 2014  12.56  
Feb. 24, 2014  12.59  
Feb. 21, 2014  12.50  
Feb. 20, 2014  12.50  
Feb. 19, 2014  12.44  
Feb. 18, 2014  12.62  
Feb. 14, 2014  12.55  
Feb. 13, 2014  12.09  
Feb. 12, 2014  12.08  
Feb. 11, 2014  12.00  
Feb. 10, 2014  11.88  
Feb. 7, 2014  11.87  
Feb. 6, 2014  11.59  
Feb. 5, 2014  11.44  
Feb. 4, 2014  11.42  
Feb. 3, 2014  11.43  
Jan. 31, 2014  11.48  
Jan. 30, 2014  11.57  
Jan. 29, 2014  11.51  
Jan. 28, 2014  11.57  
Jan. 27, 2014  11.41  
Jan. 24, 2014  11.53  
Jan. 23, 2014  11.72  
Jan. 22, 2014  11.92  
Jan. 21, 2014  11.79  
Jan. 17, 2014  11.87  
Jan. 16, 2014  12.03  
Jan. 15, 2014  11.99  
Jan. 14, 2014  12.10  
Jan. 13, 2014  12.00  
Jan. 10, 2014  12.30  
Jan. 9, 2014  12.43  
Jan. 8, 2014  12.42  
Jan. 7, 2014  12.52  
Jan. 6, 2014  12.29  
Jan. 3, 2014  12.26  
Jan. 2, 2014  12.30  
Dec. 31, 2013  12.46  
Dec. 30, 2013  15.91  
