,date,volume.x,low_price,high_price,volume.y,earning_yield,operating_earning_yield,ps_ratio,dividend_yield,ev_revenues,price_to_book_value,ev_ebit,pe_ratio,peg_ratio
1294,02/01/2018,3.087M,74.99,76.28,3.087M,2.23%,2.26%,4.392,4.02%,5.001,2.83,50.44,44.76,NA
1981,01/31/2018,5.538M,67.33,68.09,5.538M,-1.11%,,4.978,4.46%,5.711,2.41,NA,NA,NA
1967,01/30/2018,4.551M,67.32,68.85,4.551M,-1.1%,,4.986,4.45%,5.719,2.413,NA,NA,NA
1939,01/29/2018,10.02M,65.85,68.8,10.02M,-14.88%,,4.148,4.32%,4.54,2.158,NA,NA,NA
1897,01/26/2018,3.699M,67.85,68.57,3.699M,-1.09%,,5.035,4.41%,5.768,2.437,NA,NA,NA
1882,01/25/2018,6.147M,67.91,69.25,6.147M,-1.1%,,5.004,4.43%,5.737,2.422,NA,NA,NA
1867,01/24/2018,4.947M,67.61,68.5,4.947M,-1.11%,,4.985,4.45%,5.718,2.413,NA,NA,NA
1853,01/23/2018,3.129M,67.65,68.58,3.129M,-1.1%,,4.994,4.44%,5.727,2.417,NA,NA,NA
1839,01/22/2018,7.590M,61.42,64.36,7.590M,-16.06%,,3.845,4.66%,4.237,2,NA,NA,NA
1792,01/19/2018,3.901M,68.38,69.75,3.901M,-1.09%,,5.048,4.39%,5.781,2.443,NA,NA,NA
1780,01/18/2018,3.659M,69.06,69.88,3.659M,-1.08%,,5.092,4.36%,5.824,2.464,NA,NA,NA
4629,01/17/2018,3.118M,63.79,64.41,3.118M,1.11%,0.82%,3.915,4.77%,4.555,2.37,141.08,90.14,NA
1758,01/16/2018,6.564M,76.37,78.23,6.564M,1%,15.01%,2.778,3.69%,2.879,1.72,6.904,100.04,NA
1708,01/12/2018,5.344M,68.47,69.64,5.344M,-1.09%,,5.07,4.37%,5.803,2.454,NA,NA,NA
1693,01/11/2018,6.423M,68.88,69.94,6.423M,-1.08%,,5.094,4.35%,5.827,2.466,NA,NA,NA
1678,01/10/2018,3.993M,69.29,70.76,3.993M,-1.08%,,5.094,4.35%,5.827,2.466,NA,NA,NA
2067,01/09/2018,5.544M,69.9,70.81,5.544M,-1.06%,,5.177,4.28%,5.91,2.506,NA,NA,NA
2053,01/08/2018,6.202M,62.91,64.92,6.202M,-16.22%,,3.807,4.7%,4.199,1.98,NA,NA,NA
2011,01/05/2018,4.769M,70.54,71.48,4.769M,-1.06%,,5.187,4.28%,5.92,2.511,NA,NA,NA
1996,01/04/2018,4.151M,71.07,72.2,4.151M,-1.05%,,5.25,4.22%,5.983,2.541,NA,NA,NA
1953,01/03/2018,4.394M,71.18,72.96,4.394M,-1.04%,,5.308,4.18%,6.041,2.569,NA,NA,NA
1802,01/02/2018,3.635M,79.24,81.07,3.635M,0.97%,14.53%,2.87,3.57%,2.97,1.777,7.122,103.36,NA
