Dec. 31 2017,9.88%
Sept. 30 2017,4.33%
June 30 2017,0.91%
March 31 2017,-4.82%
Dec. 31 2016,-5.52%
Sept. 30 2016,-52.62%
June 30 2016,-71.82%
March 31 2016,-63.39%
Dec. 31 2015,-61.65%
Sept. 30 2015,-37.50%
June 30 2015,-12.59%
March 31 2015,-4.95%
Dec. 31 2014,2.81%
Sept. 30 2014,30.52%
June 30 2014,30.04%
March 31 2014,28.91%
Dec. 31 2013,27.52%
Sept. 30 2013,22.29%
June 30 2013,21.80%
March 31 2013,22.19%
Dec. 31 2012,22.78%
Sept. 30 2012,24.44%
June 30 2012,25.99%
March 31 2012,27.54%
Dec. 31 2011,28.07%
Sept. 30 2011,27.43%
June 30 2011,26.38%
March 31 2011,24.71%
Dec. 31 2010,23.65%
Sept. 30 2010,23.56%
June 30 2010,22.95%
March 31 2010,21.92%
Dec. 31 2009,19.51%
Sept. 30 2009,15.88%
June 30 2009,20.72%
March 31 2009,24.83%
Dec. 31 2008,27.83%
Sept. 30 2008,29.03%
June 30 2008,27.81%
March 31 2008,27.34%
Dec. 31 2007,26.98%
Sept. 30 2007,27.40%
June 30 2007,27.20%
March 31 2007,23.94%
Dec. 31 2006,23.46%
Sept. 30 2006,25.84%
June 30 2006,28.82%
March 31 2006,34.52%
Dec. 31 2005,34.52%
Sept. 30 2005,34.31%
June 30 2005,30.80%
March 31 2005,24.84%
Dec. 31 2004,23.29%
Sept. 30 2004,20.71%
June 30 2004,19.01%
March 31 2004,17.71%
Dec. 31 2003,16.31%
Sept. 30 2003,16.22%
June 30 2003,16.44%
March 31 2003,15.63%
Dec. 31 2002,13.39%
Sept. 30 2002,6.19%
June 30 2002,6.79%
March 31 2002,7.88%
Dec. 31 2001,9.78%
Sept. 30 2001,12.08%
June 30 2001,10.28%
March 31 2001,10.91%
Dec. 31 2000,10.85%
Sept. 30 2000,12.23%
June 30 2000,11.92%
March 31 2000,8.65%
Dec. 31 1999,5.73%
Sept. 30 1999,0.39%
June 30 1999,-0.93%
March 31 1999,1.80%
Dec. 31 1998,5.33%
Sept. 30 1998,-7.06%
June 30 1998,-5.07%
March 31 1998,-4.69%
