Feb. 1 2018,3.087M
Jan. 31 2018,4.596M
Jan. 30 2018,4.169M
Jan. 29 2018,2.931M
Jan. 26 2018,2.204M
Jan. 25 2018,2.454M
Jan. 24 2018,2.922M
Jan. 23 2018,3.256M
Jan. 22 2018,4.231M
Jan. 19 2018,3.193M
Jan. 18 2018,2.898M
Jan. 17 2018,3.083M
Jan. 16 2018,4.283M
Jan. 12 2018,5.752M
Jan. 11 2018,5.056M
Jan. 10 2018,4.003M
Jan. 9 2018,2.984M
Jan. 8 2018,3.090M
Jan. 5 2018,3.168M
Jan. 4 2018,2.704M
Jan. 3 2018,3.463M
Jan. 2 2018,2.754M
Dec. 29 2017,3.169M
Dec. 28 2017,1.683M
Dec. 27 2017,2.181M
Dec. 26 2017,2.212M
Dec. 22 2017,2.409M
Dec. 21 2017,2.811M
Dec. 20 2017,2.843M
Dec. 19 2017,4.190M
Dec. 18 2017,3.038M
Dec. 15 2017,6.942M
Dec. 14 2017,5.522M
Dec. 13 2017,3.972M
Dec. 12 2017,4.178M
Dec. 11 2017,2.846M
Dec. 8 2017,3.057M
Dec. 7 2017,3.807M
Dec. 6 2017,3.296M
Dec. 5 2017,2.717M
Dec. 4 2017,3.646M
Dec. 1 2017,4.972M
Nov. 30 2017,6.154M
Nov. 29 2017,5.104M
Nov. 28 2017,4.804M
Nov. 27 2017,6.201M
Nov. 24 2017,1.596M
Nov. 22 2017,2.682M
Nov. 21 2017,2.973M
Nov. 20 2017,4.156M
Nov. 17 2017,5.504M
Nov. 16 2017,3.578M
Nov. 15 2017,4.876M
Nov. 14 2017,3.892M
Nov. 13 2017,3.553M
Nov. 10 2017,3.039M
Nov. 9 2017,2.851M
Nov. 8 2017,4.526M
Nov. 7 2017,3.150M
Nov. 6 2017,3.980M
Nov. 3 2017,6.363M
Nov. 2 2017,7.863M
Nov. 1 2017,6.180M
Oct. 31 2017,5.205M
Oct. 30 2017,4.371M
Oct. 27 2017,5.062M
Oct. 26 2017,4.244M
Oct. 25 2017,6.841M
Oct. 24 2017,6.248M
Oct. 23 2017,3.404M
Oct. 20 2017,4.519M
Oct. 19 2017,3.347M
Oct. 18 2017,2.895M
Oct. 17 2017,3.081M
Oct. 16 2017,2.667M
Oct. 13 2017,3.378M
Oct. 12 2017,3.100M
Oct. 11 2017,2.045M
Oct. 10 2017,3.435M
Oct. 9 2017,3.118M
Oct. 6 2017,2.303M
Oct. 5 2017,3.029M
Oct. 4 2017,3.356M
