Feb. 1 2018,203.53B
Jan. 31 2018,201.68B
Jan. 30 2018,202.04B
Jan. 29 2018,205.48B
Jan. 26 2018,205.79B
Jan. 25 2018,204.14B
Jan. 24 2018,204.17B
Jan. 23 2018,201.86B
Jan. 22 2018,201.96B
Jan. 19 2018,201.22B
Jan. 18 2018,198.88B
Jan. 17 2018,199.08B
Jan. 16 2018,198.16B
Jan. 12 2018,197.46B
Jan. 11 2018,194.17B
Jan. 10 2018,194.41B
Jan. 9 2018,193.53B
Jan. 8 2018,191.53B
Jan. 5 2018,193.79B
Jan. 4 2018,194.05B
Jan. 3 2018,191.68B
Jan. 2 2018,191.09B
Dec. 29 2017,196.74B
Dec. 28 2017,198.51B
Dec. 27 2017,198.01B
Dec. 26 2017,197.72B
Dec. 22 2017,199.60B
Dec. 21 2017,200.47B
Dec. 20 2017,197.40B
Dec. 19 2017,197.51B
Dec. 18 2017,200.07B
Dec. 15 2017,197.69B
Dec. 14 2017,195.44B
Dec. 13 2017,198.67B
Dec. 12 2017,201.34B
Dec. 11 2017,200.55B
Dec. 8 2017,200.18B
Dec. 7 2017,198.25B
Dec. 6 2017,199.46B
Dec. 5 2017,202.37B
Dec. 4 2017,203.85B
Dec. 1 2017,199.65B
Nov. 30 2017,199.62B
Nov. 29 2017,198.41B
Nov. 28 2017,194.86B
Nov. 27 2017,188.76B
Nov. 24 2017,190.42B
Nov. 22 2017,191.06B
Nov. 21 2017,191.37B
Nov. 20 2017,190.50B
Nov. 17 2017,188.60B
Nov. 16 2017,189.50B
Nov. 15 2017,189.65B
Nov. 14 2017,189.13B
Nov. 13 2017,190.34B
Nov. 10 2017,191.03B
Nov. 9 2017,191.51B
Nov. 8 2017,191.27B
Nov. 7 2017,192.25B
Nov. 6 2017,195.13B
Nov. 3 2017,195.79B
Nov. 2 2017,197.61B
Nov. 1 2017,195.74B
Oct. 31 2017,194.33B
Oct. 30 2017,195.07B
Oct. 27 2017,195.31B
Oct. 26 2017,195.10B
Oct. 25 2017,194.65B
Oct. 24 2017,196.29B
Oct. 23 2017,194.41B
Oct. 20 2017,194.41B
Oct. 19 2017,192.69B
Oct. 18 2017,193.33B
Oct. 17 2017,190.87B
Oct. 16 2017,189.76B
Oct. 13 2017,190.66B
Oct. 12 2017,191.35B
Oct. 11 2017,198.14B
Oct. 10 2017,198.78B
Oct. 9 2017,199.33B
Oct. 6 2017,199.99B
Oct. 5 2017,200.20B
Oct. 4 2017,195.81B
Oct. 3 2017,196.00B
Oct. 2 2017,195.13B
Sept. 29 2017,198.18B
Sept. 28 2017,197.94B
Sept. 27 2017,196.93B
Sept. 26 2017,193.28B
Sept. 25 2017,193.01B
Sept. 22 2017,194.53B
Sept. 21 2017,195.51B
Sept. 20 2017,194.70B
Sept. 19 2017,193.85B
Sept. 18 2017,192.35B
Sept. 15 2017,188.10B
Sept. 14 2017,188.65B
Sept. 13 2017,189.06B
Sept. 12 2017,187.42B
Sept. 11 2017,184.48B
Sept. 8 2017,180.28B
Sept. 7 2017,179.98B
Sept. 6 2017,183.42B
Sept. 5 2017,182.98B
Sept. 1 2017,186.85B
Aug. 31 2017,185.35B
Aug. 30 2017,185.30B
Aug. 29 2017,183.85B
Aug. 28 2017,184.75B
Aug. 25 2017,184.86B
Aug. 24 2017,184.43B
Aug. 23 2017,183.17B
Aug. 22 2017,182.14B
Aug. 21 2017,179.68B
Aug. 18 2017,181.40B
Aug. 17 2017,181.46B
Aug. 16 2017,184.48B
Aug. 15 2017,185.19B
Aug. 14 2017,184.97B
Aug. 11 2017,182.00B
Aug. 10 2017,183.14B
Aug. 9 2017,186.44B
Aug. 8 2017,187.67B
Aug. 7 2017,188.10B
Aug. 4 2017,187.94B
Aug. 3 2017,185.62B
Aug. 2 2017,189.14B
Aug. 1 2017,189.63B
July 31 2017,186.50B
July 28 2017,183.72B
July 27 2017,184.18B
July 26 2017,185.22B
July 25 2017,185.35B
July 24 2017,180.09B
July 21 2017,179.82B
July 20 2017,180.80B
July 19 2017,181.73B
July 18 2017,182.25B
July 17 2017,182.08B
July 14 2017,181.78B
July 13 2017,182.60B
July 12 2017,182.33B
July 11 2017,182.05B
July 10 2017,184.32B
July 7 2017,185.02B
July 6 2017,184.26B
July 5 2017,186.50B
July 3 2017,185.98B
June 30 2017,182.22B
June 29 2017,184.41B
June 28 2017,179.46B
June 27 2017,176.84B
June 26 2017,175.60B
June 23 2017,174.58B
June 22 2017,175.16B
June 21 2017,175.74B
June 20 2017,175.96B
June 19 2017,177.53B
June 16 2017,175.91B
June 15 2017,176.48B
June 14 2017,178.19B
June 13 2017,178.11B
June 12 2017,177.09B
June 9 2017,177.45B
June 8 2017,174.03B
June 7 2017,170.37B
June 6 2017,167.98B
June 5 2017,168.64B
June 2 2017,168.25B
June 1 2017,168.17B
May 31 2017,166.68B
May 30 2017,169.71B
May 26 2017,170.89B
May 25 2017,170.56B
May 24 2017,171.45B
May 23 2017,169.90B
May 22 2017,168.11B
May 19 2017,168.22B
May 18 2017,165.42B
May 17 2017,165.14B
May 16 2017,172.05B
May 15 2017,169.11B
May 12 2017,168.14B
May 11 2017,167.12B
May 10 2017,166.21B
May 9 2017,165.83B
May 8 2017,166.57B
May 5 2017,165.86B
May 4 2017,165.77B
May 3 2017,165.86B
May 2 2017,164.40B
May 1 2017,163.71B
April 28 2017,162.77B
April 27 2017,163.52B
April 26 2017,165.47B
April 25 2017,165.77B
April 24 2017,163.65B
April 21 2017,158.92B
April 20 2017,160.82B
April 19 2017,158.95B
April 18 2017,160.85B
April 17 2017,162.41B
April 13 2017,159.80B
April 12 2017,161.09B
April 11 2017,162.52B
April 10 2017,163.21B
April 7 2017,163.63B
April 6 2017,164.89B
April 5 2017,164.07B
April 4 2017,164.31B
April 3 2017,164.31B
March 31 2017,164.70B
March 30 2017,167.30B
March 29 2017,164.21B
March 28 2017,164.29B
March 27 2017,161.27B
March 24 2017,160.56B
March 23 2017,160.50B
March 22 2017,159.73B
March 21 2017,160.47B
March 20 2017,164.76B
March 17 2017,166.91B
March 16 2017,169.07B
March 15 2017,168.21B
March 14 2017,169.87B
March 13 2017,170.12B
March 10 2017,170.01B
March 9 2017,170.18B
March 8 2017,168.96B
March 7 2017,167.27B
March 6 2017,166.67B
March 3 2017,168.66B
March 2 2017,167.63B
March 1 2017,170.15B
Feb. 28 2017,165.37B
Feb. 27 2017,165.95B
Feb. 24 2017,165.02B
Feb. 23 2017,167.96B
Feb. 22 2017,167.96B
Feb. 21 2017,167.77B
