Dec. 31 2017,-9.51%
Sept. 30 2017,22.00%
June 30 2017,21.72%
March 31 2017,22.01%
Dec. 31 2016,21.34%
Sept. 30 2016,20.58%
June 30 2016,20.93%
March 31 2016,21.53%
Dec. 31 2015,22.58%
Sept. 30 2015,18.80%
June 30 2015,16.67%
March 31 2015,10.60%
Dec. 31 2014,9.47%
Sept. 30 2014,12.15%
June 30 2014,12.95%
March 31 2014,17.99%
Dec. 31 2013,17.80%
Sept. 30 2013,16.20%
June 30 2013,13.33%
March 31 2013,11.97%
Dec. 31 2012,10.85%
Sept. 30 2012,10.79%
June 30 2012,14.18%
March 31 2012,14.28%
Dec. 31 2011,14.31%
Sept. 30 2011,14.36%
June 30 2011,12.36%
March 31 2011,11.34%
Dec. 31 2010,12.24%
Sept. 30 2010,2.33%
June 30 2010,-0.48%
March 31 2010,1.51%
Dec. 31 2009,-2.00%
Sept. 30 2009,-14.02%
June 30 2009,-18.60%
March 31 2009,-32.80%
Dec. 31 2008,-53.36%
Sept. 30 2008,-38.46%
June 30 2008,-26.24%
March 31 2008,-9.74%
Dec. 31 2007,4.53%
Sept. 30 2007,19.77%
June 30 2007,23.33%
March 31 2007,23.34%
Dec. 31 2006,24.95%
Sept. 30 2006,26.96%
June 30 2006,28.83%
March 31 2006,29.29%
Dec. 31 2005,29.40%
Sept. 30 2005,27.69%
June 30 2005,26.36%
March 31 2005,21.28%
Dec. 31 2004,21.31%
Sept. 30 2004,20.60%
June 30 2004,19.67%
March 31 2004,24.02%
Dec. 31 2003,23.05%
Sept. 30 2003,20.65%
June 30 2003,20.09%
March 31 2003,20.18%
Dec. 31 2002,21.42%
Sept. 30 2002,23.45%
June 30 2002,22.87%
March 31 2002,21.66%
Dec. 31 2001,19.16%
Sept. 30 2001,20.70%
June 30 2001,20.33%
March 31 2001,20.62%
Dec. 31 2000,21.52%
Sept. 30 2000,18.60%
June 30 2000,18.39%
March 31 2000,17.99%
Dec. 31 1999,17.11%
Sept. 30 1999,14.73%
June 30 1999,12.70%
March 31 1999,12.66%
Dec. 31 1998,12.58%
Sept. 30 1998,14.15%
June 30 1998,15.47%
March 31 1998,14.84%
