Dec. 31 2017,-0.37%
Sept. 30 2017,0.85%
June 30 2017,0.84%
March 31 2017,0.86%
Dec. 31 2016,0.83%
Sept. 30 2016,0.82%
June 30 2016,0.84%
March 31 2016,0.89%
Dec. 31 2015,0.95%
Sept. 30 2015,0.78%
June 30 2015,0.69%
March 31 2015,0.43%
Dec. 31 2014,0.39%
Sept. 30 2014,0.50%
June 30 2014,0.52%
March 31 2014,0.73%
Dec. 31 2013,0.73%
Sept. 30 2013,0.66%
June 30 2013,0.51%
March 31 2013,0.44%
Dec. 31 2012,0.40%
Sept. 30 2012,0.38%
June 30 2012,0.55%
March 31 2012,0.57%
Dec. 31 2011,0.57%
Sept. 30 2011,0.59%
June 30 2011,0.50%
March 31 2011,0.47%
Dec. 31 2010,0.55%
Sept. 30 2010,0.09%
June 30 2010,-0.02%
March 31 2010,0.07%
Dec. 31 2009,-0.09%
Sept. 30 2009,-0.59%
June 30 2009,-0.73%
March 31 2009,-1.04%
Dec. 31 2008,-1.32%
Sept. 30 2008,-0.93%
June 30 2008,-0.69%
March 31 2008,-0.30%
Dec. 31 2007,0.17%
Sept. 30 2007,0.91%
June 30 2007,1.15%
March 31 2007,1.18%
Dec. 31 2006,1.29%
Sept. 30 2006,1.47%
June 30 2006,1.62%
March 31 2006,1.63%
Dec. 31 2005,1.64%
Sept. 30 2005,1.55%
June 30 2005,1.44%
March 31 2005,1.21%
Dec. 31 2004,1.24%
Sept. 30 2004,1.24%
June 30 2004,1.24%
March 31 2004,1.56%
Dec. 31 2003,1.51%
Sept. 30 2003,1.37%
June 30 2003,1.33%
March 31 2003,1.34%
Dec. 31 2002,1.44%
Sept. 30 2002,1.58%
June 30 2002,1.53%
March 31 2002,1.52%
Dec. 31 2001,1.44%
Sept. 30 2001,1.40%
June 30 2001,1.52%
March 31 2001,1.54%
Dec. 31 2000,1.64%
Sept. 30 2000,1.88%
June 30 2000,1.80%
March 31 2000,1.77%
Dec. 31 1999,1.59%
Sept. 30 1999,1.46%
June 30 1999,1.30%
March 31 1999,1.40%
Dec. 31 1998,1.36%
Sept. 30 1998,2.22%
June 30 1998,2.54%
March 31 1998,2.53%
