Dec. 31 2017,229.62B
Sept. 30 2017,232.31B
June 30 2017,232.42B
March 31 2017,229.80B
Dec. 31 2016,228.12B
Sept. 30 2016,228.26B
June 30 2016,226.36B
March 31 2016,224.09B
Dec. 31 2015,221.50B
Sept. 30 2015,219.66B
June 30 2015,216.29B
March 31 2015,214.37B
Dec. 31 2014,211.66B
Sept. 30 2014,211.21B
June 30 2014,208.85B
March 31 2014,204.57B
Dec. 31 2013,200.02B
Sept. 30 2013,195.51B
June 30 2013,197.78B
March 31 2013,197.13B
Dec. 31 2012,195.01B
Sept. 30 2012,190.64B
June 30 2012,183.77B
March 31 2012,181.93B
Dec. 31 2011,175.77B
Sept. 30 2011,174.49B
June 30 2011,175.08B
March 31 2011,172.80B
Dec. 31 2010,168.31B
June 30 2010,162.97B
March 31 2010,156.57B
Dec. 31 2009,157.21B
Sept. 30 2009,154.10B
June 30 2009,146.61B
March 31 2009,138.20B
Dec. 31 2008,134.94B
Sept. 30 2008,137.69B
June 30 2008,127.18B
March 31 2008,125.63B
Dec. 31 2007,123.22B
Sept. 30 2007,119.98B
June 30 2007,119.21B
March 31 2007,117.70B
Dec. 31 2006,115.79B
Sept. 30 2006,113.56B
June 30 2006,110.68B
March 31 2006,108.34B
Dec. 31 2005,107.07B
Sept. 30 2005,106.00B
June 30 2005,105.25B
March 31 2005,105.00B
Dec. 31 2004,105.31B
Sept. 30 2004,104.84B
June 30 2004,44.93B
March 31 2004,47.09B
Dec. 31 2003,45.14B
Sept. 30 2003,43.95B
June 30 2003,43.81B
March 31 2003,42.08B
Dec. 31 2002,41.30B
Sept. 30 2002,42.43B
June 30 2002,41.73B
March 31 2002,40.12B
Dec. 31 2001,40.09B
Sept. 30 2001,41.73B
June 30 2001,41.40B
March 31 2001,42.00B
Dec. 31 2000,40.82B
Sept. 30 2000,28.61B
June 30 2000,24.06B
March 31 2000,23.04B
Dec. 31 1999,22.69B
Sept. 30 1999,21.41B
June 30 1999,21.68B
March 31 1999,22.24B
Dec. 31 1998,22.81B
Sept. 30 1998,22.19B
June 30 1998,21.44B
March 31 1998,20.67B
