Feb. 1 2018,1.81%
Jan. 31 2018,1.83%
Jan. 30 2018,1.84%
Jan. 29 2018,1.82%
Jan. 26 2018,1.82%
Jan. 25 2018,1.83%
Jan. 24 2018,1.83%
Jan. 23 2018,1.86%
Jan. 22 2018,1.85%
Jan. 19 2018,1.88%
Jan. 18 2018,1.87%
Jan. 17 2018,1.88%
Jan. 16 2018,1.89%
Jan. 12 2018,1.88%
Jan. 11 2018,1.91%
Jan. 10 2018,1.92%
Jan. 9 2018,1.94%
Jan. 8 2018,1.95%
Jan. 5 2018,1.96%
Jan. 4 2018,1.94%
Jan. 3 2018,1.89%
Jan. 2 2018,1.89%
Dec. 29 2017,1.91%
Dec. 28 2017,1.89%
Dec. 27 2017,1.90%
Dec. 26 2017,1.91%
Dec. 22 2017,1.90%
Dec. 21 2017,1.89%
Dec. 20 2017,1.92%
Dec. 19 2017,1.92%
Dec. 18 2017,1.91%
Dec. 15 2017,1.92%
Dec. 14 2017,1.95%
Dec. 13 2017,1.93%
Dec. 12 2017,1.91%
Dec. 11 2017,1.93%
Dec. 8 2017,1.93%
Dec. 7 2017,1.95%
Dec. 6 2017,1.94%
Dec. 5 2017,1.93%
Dec. 4 2017,1.91%
Dec. 1 2017,1.95%
Nov. 30 2017,1.95%
Nov. 29 2017,1.97%
Nov. 28 2017,2.01%
Nov. 27 2017,2.08%
Nov. 24 2017,2.07%
Nov. 22 2017,2.07%
Nov. 21 2017,2.06%
Nov. 20 2017,2.06%
Nov. 17 2017,2.08%
Nov. 16 2017,2.07%
Nov. 15 2017,2.08%
Nov. 14 2017,2.10%
Nov. 13 2017,2.08%
Nov. 10 2017,2.09%
Nov. 9 2017,2.09%
Nov. 8 2017,2.09%
Nov. 7 2017,2.07%
Nov. 6 2017,2.02%
Nov. 3 2017,2.01%
Nov. 2 2017,2.01%
Nov. 1 2017,2.02%
Oct. 31 2017,2.03%
Oct. 30 2017,2.01%
Oct. 27 2017,2.00%
Oct. 26 2017,2.01%
Oct. 25 2017,2.02%
Oct. 24 2017,2.02%
Oct. 23 2017,2.05%
Oct. 20 2017,2.05%
Oct. 19 2017,2.08%
Oct. 18 2017,2.08%
Oct. 17 2017,2.09%
Oct. 16 2017,2.08%
Oct. 13 2017,2.13%
Oct. 12 2017,2.13%
Oct. 11 2017,2.11%
Oct. 10 2017,2.10%
Oct. 9 2017,2.12%
Oct. 6 2017,2.10%
Oct. 5 2017,2.10%
Oct. 4 2017,2.03%
Oct. 3 2017,2.01%
Oct. 2 2017,2.02%
Sept. 30 2017,2.05%
Sept. 29 2017,2.05%
Sept. 28 2017,2.05%
Sept. 27 2017,2.06%
Sept. 26 2017,2.09%
Sept. 25 2017,2.08%
Sept. 22 2017,2.07%
Sept. 21 2017,2.06%
Sept. 20 2017,2.09%
Sept. 19 2017,2.09%
Sept. 18 2017,2.11%
Sept. 15 2017,2.14%
Sept. 14 2017,2.15%
Sept. 13 2017,2.15%
Sept. 12 2017,2.16%
Sept. 11 2017,2.18%
Sept. 8 2017,2.22%
Sept. 7 2017,2.21%
Sept. 6 2017,2.18%
Sept. 5 2017,2.19%
Sept. 1 2017,2.14%
Aug. 31 2017,2.16%
Aug. 30 2017,2.15%
Aug. 29 2017,2.15%
Aug. 28 2017,2.14%
Aug. 25 2017,2.13%
Aug. 24 2017,2.14%
Aug. 23 2017,2.14%
Aug. 22 2017,2.14%
Aug. 21 2017,2.16%
Aug. 18 2017,2.16%
Aug. 17 2017,2.16%
Aug. 16 2017,2.13%
Aug. 15 2017,2.11%
Aug. 14 2017,2.12%
Aug. 11 2017,2.14%
Aug. 10 2017,2.13%
Aug. 9 2017,2.10%
Aug. 8 2017,2.09%
Aug. 7 2017,2.08%
Aug. 4 2017,2.09%
Aug. 3 2017,2.12%
Aug. 2 2017,2.10%
Aug. 1 2017,2.11%
July 31 2017,2.14%
July 28 2017,2.15%
July 27 2017,2.14%
July 26 2017,2.13%
July 25 2017,2.11%
July 24 2017,2.15%
July 21 2017,2.16%
July 20 2017,2.15%
July 19 2017,2.15%
July 18 2017,2.15%
July 17 2017,2.14%
July 14 2017,2.12%
July 13 2017,2.11%
July 12 2017,2.12%
July 11 2017,2.11%
July 10 2017,2.10%
July 7 2017,2.09%
July 6 2017,2.10%
July 5 2017,2.09%
July 3 2017,2.11%
June 30 2017,2.12%
June 29 2017,2.13%
June 28 2017,2.16%
June 27 2017,2.20%
June 26 2017,2.22%
June 23 2017,2.23%
June 22 2017,2.23%
June 21 2017,2.23%
June 20 2017,2.22%
June 19 2017,2.20%
June 16 2017,2.25%
June 15 2017,2.24%
June 14 2017,2.23%
June 13 2017,2.22%
June 12 2017,2.23%
June 9 2017,2.23%
June 8 2017,2.28%
June 7 2017,2.31%
June 6 2017,2.34%
June 5 2017,2.34%
June 2 2017,2.35%
June 1 2017,2.34%
May 31 2017,2.36%
May 30 2017,2.31%
May 26 2017,2.27%
May 25 2017,2.27%
May 24 2017,2.26%
May 23 2017,2.26%
May 22 2017,2.29%
May 19 2017,2.29%
May 18 2017,2.31%
May 17 2017,2.30%
May 16 2017,2.21%
May 15 2017,2.22%
May 12 2017,2.23%
May 11 2017,2.23%
May 10 2017,2.22%
May 9 2017,2.24%
May 8 2017,2.23%
May 5 2017,2.23%
May 4 2017,2.23%
May 3 2017,2.23%
May 2 2017,2.24%
May 1 2017,2.23%
April 28 2017,2.23%
April 27 2017,2.21%
April 26 2017,2.19%
April 25 2017,2.20%
April 24 2017,2.22%
April 21 2017,2.30%
April 20 2017,2.27%
April 19 2017,2.30%
April 18 2017,2.28%
April 17 2017,2.26%
April 13 2017,2.30%
April 12 2017,2.27%
April 11 2017,2.26%
April 10 2017,2.26%
April 7 2017,2.25%
April 6 2017,2.24%
April 5 2017,2.25%
April 4 2017,2.22%
April 3 2017,2.15%
March 31 2017,2.14%
March 30 2017,2.11%
March 29 2017,2.13%
March 28 2017,2.12%
March 27 2017,2.16%
March 24 2017,2.15%
March 23 2017,2.15%
March 22 2017,2.15%
March 21 2017,2.15%
March 20 2017,2.09%
March 17 2017,2.07%
March 16 2017,2.05%
March 15 2017,2.05%
March 14 2017,2.05%
March 13 2017,2.06%
March 10 2017,2.06%
March 9 2017,2.05%
March 8 2017,2.06%
March 7 2017,2.06%
March 6 2017,2.05%
March 3 2017,2.03%
March 2 2017,2.04%
March 1 2017,2.01%
Feb. 28 2017,2.07%
Feb. 27 2017,2.08%
Feb. 24 2017,2.08%
Feb. 23 2017,2.06%
Feb. 22 2017,2.06%
Feb. 21 2017,2.07%
Feb. 17 2017,2.08%
Feb. 16 2017,2.08%
Feb. 15 2017,2.08%
Feb. 14 2017,2.10%
Feb. 13 2017,2.13%
Feb. 10 2017,2.16%
Feb. 9 2017,2.16%
Feb. 8 2017,2.19%
Feb. 7 2017,2.17%
Feb. 6 2017,2.17%
Feb. 3 2017,2.16%
Feb. 2 2017,2.22%
Feb. 1 2017,2.21%
Jan. 31 2017,2.22%
Jan. 30 2017,2.19%
Jan. 27 2017,2.16%
Jan. 26 2017,2.17%
Jan. 25 2017,2.19%
Jan. 24 2017,2.22%
Jan. 23 2017,2.25%
Jan. 20 2017,2.25%
Jan. 19 2017,2.26%
Jan. 18 2017,2.24%
Jan. 17 2017,2.25%
Jan. 13 2017,2.17%
Jan. 12 2017,2.18%
Jan. 11 2017,2.16%
Jan. 10 2017,2.18%
Jan. 9 2017,2.18%
Jan. 6 2017,2.18%
Jan. 5 2017,2.18%
Jan. 4 2017,2.16%
Jan. 3 2017,2.11%
Dec. 30 2016,2.13%
Dec. 29 2016,2.14%
Dec. 28 2016,2.13%
Dec. 27 2016,2.11%
Dec. 23 2016,2.11%
Dec. 22 2016,2.12%
Dec. 21 2016,2.12%
Dec. 20 2016,2.13%
Dec. 19 2016,2.15%
Dec. 16 2016,2.17%
Dec. 15 2016,2.14%
Dec. 14 2016,2.17%
Dec. 13 2016,2.17%
Dec. 12 2016,2.17%
Dec. 9 2016,2.15%
Dec. 8 2016,2.16%
Dec. 7 2016,2.19%
Dec. 6 2016,2.20%
Dec. 5 2016,2.21%
Dec. 2 2016,2.25%
Dec. 1 2016,2.25%
Nov. 30 2016,2.30%
Nov. 29 2016,2.33%
Nov. 28 2016,2.35%
Nov. 25 2016,2.33%
Nov. 23 2016,2.33%
Nov. 22 2016,2.34%
Nov. 21 2016,2.36%
Nov. 18 2016,2.37%
Nov. 17 2016,2.36%
Nov. 16 2016,2.38%
Nov. 15 2016,2.32%
Nov. 14 2016,2.31%
Nov. 11 2016,2.40%
Nov. 10 2016,2.40%
Nov. 9 2016,2.51%
Nov. 8 2016,2.63%
Nov. 7 2016,2.63%
Nov. 4 2016,2.72%
Nov. 3 2016,2.69%
Nov. 2 2016,2.68%
Nov. 1 2016,2.67%
Oct. 31 2016,2.66%
Oct. 28 2016,2.66%
Oct. 27 2016,2.66%
Oct. 26 2016,2.66%
Oct. 25 2016,2.67%
Oct. 24 2016,2.67%
Oct. 21 2016,2.69%
Oct. 20 2016,2.70%
Oct. 19 2016,2.69%
Oct. 18 2016,2.72%
Oct. 17 2016,2.74%
Oct. 14 2016,2.73%
Oct. 13 2016,2.72%
Oct. 12 2016,2.70%
Oct. 11 2016,2.69%
Oct. 10 2016,2.68%
Oct. 7 2016,2.70%
Oct. 6 2016,2.71%
Oct. 5 2016,2.72%
Oct. 4 2016,2.76%
Oct. 3 2016,2.71%
Sept. 30 2016,2.70%
Sept. 29 2016,2.74%
Sept. 28 2016,2.70%
Sept. 27 2016,2.71%
Sept. 26 2016,2.74%
Sept. 23 2016,2.68%
Sept. 22 2016,2.67%
Sept. 21 2016,2.69%
Sept. 20 2016,2.71%
Sept. 19 2016,2.72%
Sept. 16 2016,2.73%
Sept. 15 2016,2.70%
Sept. 14 2016,2.71%
Sept. 13 2016,2.71%
Sept. 12 2016,2.68%
Sept. 9 2016,2.70%
Sept. 8 2016,2.68%
Sept. 7 2016,2.68%
Sept. 6 2016,2.67%
Sept. 2 2016,2.67%
Sept. 1 2016,2.68%
Aug. 31 2016,2.67%
Aug. 30 2016,2.67%
Aug. 29 2016,2.69%
Aug. 26 2016,2.72%
Aug. 25 2016,2.72%
Aug. 24 2016,2.73%
Aug. 23 2016,2.74%
Aug. 22 2016,2.74%
Aug. 19 2016,2.73%
Aug. 18 2016,2.73%
Aug. 17 2016,2.73%
Aug. 16 2016,2.74%
Aug. 15 2016,2.74%
Aug. 12 2016,2.76%
Aug. 11 2016,2.75%
Aug. 10 2016,2.76%
Aug. 9 2016,2.73%
Aug. 8 2016,2.72%
Aug. 5 2016,2.71%
Aug. 4 2016,2.79%
Aug. 3 2016,2.78%
Aug. 2 2016,2.83%
Aug. 1 2016,2.82%
July 29 2016,2.81%
July 28 2016,2.81%
July 27 2016,2.80%
July 26 2016,2.81%
July 25 2016,2.82%
July 22 2016,2.81%
July 21 2016,2.83%
July 20 2016,2.82%
July 19 2016,2.82%
July 18 2016,2.81%
July 15 2016,2.80%
July 14 2016,2.81%
July 13 2016,2.85%
July 12 2016,2.85%
July 11 2016,2.89%
July 8 2016,2.91%
July 7 2016,2.99%
July 6 2016,2.99%
July 5 2016,3.02%
July 1 2016,2.94%
June 30 2016,2.83%
June 29 2016,2.88%
June 28 2016,2.96%
June 27 2016,3.06%
June 24 2016,2.95%
June 23 2016,2.75%
June 22 2016,2.81%
June 21 2016,2.80%
June 20 2016,2.82%
June 17 2016,2.83%
June 16 2016,2.83%
June 15 2016,2.84%
June 14 2016,2.84%
June 13 2016,2.78%
June 10 2016,2.76%
June 9 2016,2.72%
June 8 2016,2.70%
June 7 2016,2.71%
June 6 2016,2.70%
June 3 2016,2.72%
June 2 2016,2.67%
June 1 2016,2.68%
May 31 2016,2.70%
May 27 2016,2.69%
May 26 2016,2.71%
May 25 2016,2.69%
May 24 2016,2.73%
May 23 2016,2.77%
May 20 2016,2.77%
May 19 2016,2.78%
May 18 2016,2.75%
May 17 2016,2.85%
May 16 2016,2.85%
May 13 2016,2.88%
May 12 2016,2.85%
May 11 2016,2.85%
May 10 2016,2.84%
May 9 2016,2.88%
May 6 2016,2.86%
May 5 2016,2.87%
May 4 2016,2.81%
May 3 2016,2.81%
May 2 2016,2.76%
April 29 2016,2.78%
April 28 2016,2.77%
April 27 2016,2.75%
April 26 2016,2.75%
April 25 2016,2.77%
April 22 2016,2.75%
April 21 2016,2.77%
April 20 2016,2.74%
April 19 2016,2.78%
April 18 2016,2.83%
April 15 2016,2.84%
April 14 2016,2.81%
April 13 2016,2.85%
April 12 2016,2.97%
April 11 2016,3.02%
April 8 2016,3.05%
April 7 2016,3.07%
April 6 2016,2.99%
April 5 2016,3.02%
April 4 2016,2.97%
April 1 2016,2.87%
March 31 2016,2.90%
March 30 2016,2.88%
March 29 2016,2.91%
March 28 2016,2.90%
March 24 2016,2.89%
March 23 2016,2.87%
March 22 2016,2.86%
March 21 2016,2.84%
March 18 2016,2.84%
March 17 2016,2.93%
March 16 2016,2.92%
March 15 2016,2.91%
March 14 2016,2.91%
March 11 2016,2.90%
March 10 2016,2.93%
March 9 2016,2.91%
March 8 2016,2.93%
March 7 2016,2.87%
March 4 2016,2.86%
March 3 2016,2.87%
March 2 2016,2.88%
March 1 2016,2.91%
Feb. 29 2016,3.06%
Feb. 26 2016,2.99%
Feb. 25 2016,3.02%
Feb. 24 2016,3.06%
Feb. 23 2016,3.06%
Feb. 22 2016,2.94%
Feb. 19 2016,2.97%
Feb. 18 2016,2.98%
Feb. 17 2016,2.93%
Feb. 16 2016,2.95%
Feb. 12 2016,2.99%
Feb. 11 2016,3.24%
Feb. 10 2016,3.10%
Feb. 9 2016,3.06%
Feb. 8 2016,3.04%
Feb. 5 2016,2.98%
Feb. 4 2016,2.95%
Feb. 3 2016,3.00%
Feb. 2 2016,3.02%
Feb. 1 2016,2.92%
Jan. 29 2016,2.89%
Jan. 28 2016,3.00%
Jan. 27 2016,3.02%
Jan. 26 2016,3.01%
Jan. 25 2016,3.09%
Jan. 22 2016,3.02%
Jan. 21 2016,3.11%
Jan. 20 2016,3.10%
Jan. 19 2016,3.02%
Jan. 15 2016,3.02%
Jan. 14 2016,2.96%
Jan. 13 2016,3.00%
Jan. 12 2016,2.92%
Jan. 11 2016,2.92%
Jan. 8 2016,2.92%
Jan. 7 2016,2.85%
Jan. 6 2016,2.74%
Jan. 5 2016,2.70%
Jan. 4 2016,2.70%
Dec. 31 2015,2.54%
Dec. 30 2015,2.52%
Dec. 29 2015,2.50%
Dec. 28 2015,2.53%
Dec. 24 2015,2.52%
Dec. 23 2015,2.52%
Dec. 22 2015,2.56%
Dec. 21 2015,2.56%
Dec. 18 2015,2.61%
Dec. 17 2015,2.53%
Dec. 16 2015,2.49%
Dec. 15 2015,2.54%
Dec. 14 2015,2.61%
Dec. 11 2015,2.62%
Dec. 10 2015,2.56%
Dec. 9 2015,2.57%
Dec. 8 2015,2.55%
Dec. 7 2015,2.51%
Dec. 4 2015,2.47%
Dec. 3 2015,2.55%
Dec. 2 2015,2.52%
Dec. 1 2015,2.48%
Nov. 30 2015,2.52%
Nov. 27 2015,2.50%
Nov. 25 2015,2.51%
Nov. 24 2015,2.52%
Nov. 23 2015,2.51%
Nov. 20 2015,2.49%
Nov. 19 2015,2.48%
Nov. 18 2015,2.49%
Nov. 17 2015,2.54%
Nov. 16 2015,2.53%
Nov. 13 2015,2.56%
Nov. 12 2015,2.55%
Nov. 11 2015,2.49%
Nov. 10 2015,2.48%
Nov. 9 2015,2.49%
Nov. 6 2015,2.45%
Nov. 5 2015,2.53%
Nov. 4 2015,2.55%
Nov. 3 2015,2.55%
Nov. 2 2015,2.56%
Oct. 30 2015,2.61%
Oct. 29 2015,2.58%
Oct. 28 2015,2.56%
Oct. 27 2015,2.64%
Oct. 26 2015,2.63%
Oct. 23 2015,2.63%
Oct. 22 2015,2.66%
Oct. 21 2015,2.71%
Oct. 20 2015,2.69%
Oct. 19 2015,2.70%
Oct. 16 2015,2.69%
Oct. 15 2015,2.71%
Oct. 14 2015,2.80%
Oct. 13 2015,2.73%
Oct. 12 2015,2.72%
Oct. 9 2015,2.71%
Oct. 8 2015,2.70%
Oct. 7 2015,2.70%
Oct. 6 2015,2.71%
Oct. 5 2015,2.71%
Oct. 2 2015,2.76%
Oct. 1 2015,2.67%
Sept. 30 2015,2.69%
Sept. 29 2015,2.74%
Sept. 28 2015,2.73%
Sept. 25 2015,2.67%
Sept. 24 2015,2.72%
Sept. 23 2015,2.70%
Sept. 22 2015,2.69%
Sept. 21 2015,2.67%
Sept. 18 2015,2.69%
Sept. 17 2015,2.62%
Sept. 16 2015,2.56%
Sept. 15 2015,2.58%
Sept. 14 2015,2.63%
Sept. 11 2015,2.62%
Sept. 10 2015,2.62%
Sept. 9 2015,2.64%
Sept. 8 2015,2.60%
Sept. 4 2015,2.67%
Sept. 3 2015,2.62%
Sept. 2 2015,2.62%
Sept. 1 2015,2.67%
Aug. 31 2015,2.56%
Aug. 28 2015,2.56%
Aug. 27 2015,2.54%
Aug. 26 2015,2.61%
Aug. 25 2015,2.74%
Aug. 24 2015,2.72%
Aug. 21 2015,2.58%
Aug. 20 2015,2.49%
Aug. 19 2015,2.43%
Aug. 18 2015,2.40%
Aug. 17 2015,2.41%
Aug. 14 2015,2.42%
Aug. 13 2015,2.43%
Aug. 12 2015,2.44%
Aug. 11 2015,2.40%
Aug. 10 2015,2.38%
Aug. 7 2015,2.41%
Aug. 6 2015,2.40%
Aug. 5 2015,2.39%
Aug. 4 2015,2.40%
Aug. 3 2015,2.39%
July 31 2015,2.39%
July 30 2015,2.38%
July 29 2015,2.38%
July 28 2015,2.41%
July 27 2015,2.41%
July 24 2015,2.38%
July 23 2015,2.36%
July 22 2015,2.34%
July 21 2015,2.37%
July 20 2015,2.37%
July 17 2015,2.37%
July 16 2015,2.36%
July 15 2015,2.37%
July 14 2015,2.38%
July 13 2015,2.41%
July 10 2015,2.45%
July 9 2015,2.48%
July 8 2015,2.51%
July 7 2015,2.46%
July 6 2015,2.44%
July 2 2015,2.43%
July 1 2015,2.41%
June 30 2015,2.36%
June 29 2015,2.38%
June 26 2015,2.32%
June 25 2015,2.33%
June 24 2015,2.32%
June 23 2015,2.29%
June 22 2015,2.32%
June 19 2015,2.35%
June 18 2015,2.33%
June 17 2015,2.35%
June 16 2015,2.34%
June 15 2015,2.35%
June 12 2015,2.34%
June 11 2015,2.34%
June 10 2015,2.34%
June 9 2015,2.38%
June 8 2015,2.39%
June 5 2015,2.37%
June 4 2015,2.41%
June 3 2015,2.40%
June 2 2015,2.42%
June 1 2015,2.42%
May 29 2015,2.43%
May 28 2015,2.42%
May 27 2015,2.41%
May 26 2015,2.43%
May 22 2015,2.41%
May 21 2015,2.40%
May 20 2015,2.41%
May 19 2015,2.39%
May 18 2015,2.41%
May 15 2015,2.43%
May 14 2015,2.42%
May 13 2015,2.44%
May 12 2015,2.45%
May 11 2015,2.44%
May 8 2015,2.44%
May 7 2015,2.48%
May 6 2015,2.50%
May 5 2015,2.48%
May 4 2015,2.47%
May 1 2015,2.52%
April 30 2015,2.53%
April 29 2015,2.52%
April 28 2015,2.55%
April 27 2015,2.57%
April 24 2015,2.56%
April 23 2015,2.55%
April 22 2015,2.54%
April 21 2015,2.57%
April 20 2015,2.53%
April 17 2015,2.55%
April 16 2015,2.51%
April 15 2015,2.49%
April 14 2015,2.54%
April 13 2015,2.58%
April 10 2015,2.59%
