Feb. 1 2018,401.09B
Jan. 31 2018,396.97B
Jan. 30 2018,394.29B
Jan. 29 2018,398.02B
Jan. 26 2018,398.43B
Jan. 25 2018,396.31B
Jan. 24 2018,396.20B
Jan. 23 2018,391.20B
Jan. 22 2018,391.61B
Jan. 19 2018,387.09B
Jan. 18 2018,387.95B
Jan. 17 2018,387.02B
Jan. 16 2018,384.56B
Jan. 12 2018,385.93B
Jan. 11 2018,379.66B
Jan. 10 2018,377.64B
Jan. 9 2018,373.53B
Jan. 8 2018,371.64B
Jan. 5 2018,371.10B
Jan. 4 2018,373.49B
Jan. 3 2018,370.14B
Jan. 2 2018,369.76B
Dec. 29 2017,371.05B
Dec. 28 2017,374.00B
Dec. 27 2017,372.02B
Dec. 26 2017,371.33B
Dec. 22 2017,372.82B
Dec. 21 2017,374.14B
Dec. 20 2017,368.28B
Dec. 19 2017,369.56B
Dec. 18 2017,371.12B
Dec. 15 2017,368.28B
Dec. 14 2017,363.14B
Dec. 13 2017,366.09B
Dec. 12 2017,370.74B
Dec. 11 2017,366.47B
Dec. 8 2017,367.55B
Dec. 7 2017,363.00B
Dec. 6 2017,364.08B
Dec. 5 2017,366.82B
Dec. 4 2017,371.09B
Dec. 1 2017,363.59B
Nov. 30 2017,362.66B
Nov. 29 2017,359.91B
Nov. 28 2017,351.69B
Nov. 27 2017,339.79B
Nov. 24 2017,341.14B
Nov. 22 2017,342.25B
Nov. 21 2017,343.26B
Nov. 20 2017,343.54B
Nov. 17 2017,340.52B
Nov. 16 2017,341.66B
Nov. 15 2017,340.69B
Nov. 14 2017,337.50B
Nov. 13 2017,339.55B
Nov. 10 2017,338.33B
Nov. 9 2017,338.75B
Nov. 8 2017,338.78B
Nov. 7 2017,342.64B
Nov. 6 2017,349.68B
Nov. 3 2017,351.86B
Nov. 2 2017,352.49B
Nov. 1 2017,350.16B
Oct. 31 2017,349.09B
Oct. 30 2017,351.86B
Oct. 27 2017,353.11B
Oct. 26 2017,353.01B
Oct. 25 2017,350.51B
Oct. 24 2017,350.16B
Oct. 23 2017,344.68B
Oct. 20 2017,345.27B
Oct. 19 2017,340.41B
Oct. 18 2017,340.00B
Oct. 17 2017,338.71B
Oct. 16 2017,339.48B
Oct. 13 2017,332.61B
Oct. 12 2017,333.06B
Oct. 11 2017,336.01B
Oct. 10 2017,337.01B
Oct. 9 2017,334.52B
Oct. 6 2017,336.29B
Oct. 5 2017,336.88B
Oct. 4 2017,334.34B
Oct. 3 2017,337.78B
Oct. 2 2017,336.01B
Sept. 30 2017,331.39B
Sept. 29 2017,335.64B
Sept. 28 2017,335.64B
Sept. 27 2017,334.94B
Sept. 26 2017,329.73B
Sept. 25 2017,331.20B
Sept. 22 2017,333.70B
Sept. 21 2017,334.41B
Sept. 20 2017,330.57B
Sept. 19 2017,330.57B
Sept. 18 2017,326.98B
Sept. 15 2017,322.41B
Sept. 14 2017,320.12B
Sept. 13 2017,320.75B
Sept. 12 2017,319.84B
Sept. 11 2017,315.97B
Sept. 8 2017,311.15B
Sept. 7 2017,311.53B
Sept. 6 2017,317.09B
Sept. 5 2017,314.98B
Sept. 1 2017,322.69B
Aug. 31 2017,319.84B
Aug. 30 2017,321.32B
Aug. 29 2017,320.58B
Aug. 28 2017,322.34B
Aug. 25 2017,323.36B
Aug. 24 2017,322.06B
Aug. 23 2017,322.58B
Aug. 22 2017,322.20B
Aug. 21 2017,318.92B
Aug. 18 2017,319.31B
Aug. 17 2017,318.99B
Aug. 16 2017,324.06B
Aug. 15 2017,326.31B
Aug. 14 2017,325.47B
Aug. 11 2017,321.70B
Aug. 10 2017,324.41B
Aug. 9 2017,329.13B
Aug. 8 2017,329.66B
Aug. 7 2017,330.85B
Aug. 4 2017,329.59B
Aug. 3 2017,325.50B
