Dec. 31 2017,24.53%
Sept. 30 2017,27.25%
June 30 2017,26.98%
March 31 2017,26.43%
Dec. 31 2016,25.85%
Sept. 30 2016,24.63%
June 30 2016,25.68%
March 31 2016,25.94%
Dec. 31 2015,26.13%
Sept. 30 2015,25.63%
June 30 2015,23.87%
March 31 2015,23.33%
Dec. 31 2014,22.86%
Sept. 30 2014,22.91%
June 30 2014,16.97%
March 31 2014,17.42%
Dec. 31 2013,18.37%
Sept. 30 2013,18.88%
June 30 2013,24.64%
March 31 2013,23.82%
Dec. 31 2012,21.94%
Sept. 30 2012,20.37%
June 30 2012,19.12%
March 31 2012,18.71%
Dec. 31 2011,19.52%
Sept. 30 2011,19.71%
June 30 2011,19.85%
March 31 2011,19.55%
Dec. 31 2010,16.91%
Sept. 30 2010,15.86%
June 30 2010,14.61%
March 31 2010,12.53%
Dec. 31 2009,11.68%
Sept. 30 2009,9.69%
June 30 2009,7.37%
March 31 2009,7.13%
Dec. 31 2008,8.33%
Sept. 30 2008,11.68%
June 30 2008,15.58%
March 31 2008,18.69%
Dec. 31 2007,21.53%
Sept. 30 2007,24.30%
June 30 2007,24.39%
March 31 2007,24.81%
Dec. 31 2006,23.54%
Sept. 30 2006,21.31%
June 30 2006,20.45%
March 31 2006,16.75%
Dec. 31 2005,15.73%
Sept. 30 2005,14.14%
June 30 2005,12.45%
March 31 2005,10.21%
Dec. 31 2004,10.55%
Sept. 30 2004,12.22%
June 30 2004,14.58%
March 31 2004,21.43%
Dec. 31 2003,20.20%
Sept. 30 2003,13.67%
June 30 2003,9.03%
March 31 2003,6.84%
Dec. 31 2002,5.62%
Sept. 30 2002,5.99%
June 30 2002,7.31%
March 31 2002,5.20%
Dec. 31 2001,5.82%
Sept. 30 2001,8.79%
June 30 2001,11.71%
March 31 2001,15.20%
Dec. 31 2000,17.39%
Sept. 30 2000,22.27%
June 30 2000,23.23%
March 31 2000,24.07%
Dec. 31 1999,24.25%
Sept. 30 1999,23.32%
June 30 1999,22.70%
March 31 1999,22.06%
Dec. 31 1998,20.27%
Sept. 30 1998,19.85%
June 30 1998,20.44%
March 31 1998,20.29%
