Starting ChromeDriver 2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7) on port 49014
Only local connections are allowed.
Apr 03, 2018 1:17:38 PM org.openqa.selenium.remote.ProtocolHandshake createSession
INFO: Detected dialect: OSS
Jan. 31, 2018  0.1758  
Jan. 30, 2018  3.191  
Jan. 29, 2018  3.242  
Jan. 26, 2018  3.255  
Jan. 25, 2018  3.175  
Jan. 24, 2018  3.221  
Jan. 23, 2018  3.242  
Jan. 22, 2018  3.247  
Jan. 19, 2018  3.227  
Jan. 18, 2018  3.171  
Jan. 17, 2018  3.194  
Jan. 16, 2018  3.115  
Jan. 12, 2018  3.120  
Jan. 11, 2018  3.051  
Jan. 10, 2018  3.002  
Jan. 9, 2018  2.969  
Jan. 8, 2018  2.973  
Jan. 5, 2018  2.961  
Jan. 4, 2018  2.931  
Jan. 3, 2018  2.909  
Jan. 2, 2018  2.903  
Dec. 29, 2017  2.860  
Dec. 28, 2017  2.880  
Dec. 27, 2017  2.896  
Dec. 26, 2017  2.890  
Dec. 22, 2017  2.894  
Dec. 21, 2017  2.893  
Dec. 20, 2017  2.922  
Dec. 19, 2017  2.916  
Dec. 18, 2017  2.898  
Dec. 15, 2017  2.848  
Dec. 14, 2017  2.824  
Dec. 13, 2017  2.839  
Dec. 12, 2017  2.856  
Dec. 11, 2017  2.900  
Dec. 8, 2017  2.869  
Dec. 7, 2017  2.855  
Dec. 6, 2017  2.862  
Dec. 5, 2017  2.869  
Dec. 4, 2017  2.87  
Dec. 1, 2017  2.915  
Nov. 30, 2017  2.920  
Nov. 29, 2017  2.918  
Nov. 28, 2017  2.949  
Nov. 27, 2017  2.893  
Nov. 24, 2017  2.892  
Nov. 22, 2017  2.905  
Nov. 21, 2017  3.058  
Nov. 20, 2017  3.012  
Nov. 17, 2017  2.961  
Nov. 16, 2017  2.937  
Nov. 15, 2017  2.908  
Nov. 14, 2017  2.908  
Nov. 13, 2017  2.882  
Nov. 10, 2017  2.890  
Nov. 9, 2017  2.905  
Nov. 8, 2017  2.916  
Nov. 7, 2017  2.911  
Nov. 6, 2017  2.919  
Nov. 3, 2017  2.923  
Nov. 2, 2017  2.919  
Nov. 1, 2017  2.923  
Oct. 31, 2017  2.934  
Oct. 30, 2017    
Oct. 27, 2017    
Oct. 26, 2017    
Oct. 25, 2017    
Oct. 24, 2017    
Oct. 23, 2017    
Oct. 20, 2017    
Oct. 19, 2017    
Oct. 18, 2017    
Oct. 17, 2017    
Oct. 16, 2017    
Oct. 13, 2017    
Oct. 12, 2017    
Oct. 11, 2017    
Oct. 10, 2017    
Oct. 9, 2017    
Oct. 6, 2017    
Oct. 5, 2017    
Oct. 4, 2017    
Oct. 3, 2017    
Oct. 2, 2017    
Sept. 29, 2017    
Sept. 28, 2017    
Sept. 27, 2017    
Sept. 26, 2017    
Sept. 25, 2017    
Sept. 22, 2017    
Sept. 21, 2017    
Sept. 20, 2017    
Sept. 19, 2017    
Sept. 18, 2017    
Sept. 15, 2017    
Sept. 14, 2017    
Sept. 13, 2017    
Sept. 12, 2017    
Sept. 11, 2017    
Sept. 8, 2017    
Sept. 7, 2017    
Sept. 6, 2017    
Sept. 5, 2017    
Sept. 1, 2017    
Aug. 31, 2017    
Aug. 30, 2017    
Aug. 29, 2017    
Aug. 28, 2017    
Aug. 25, 2017    
Aug. 24, 2017    
Aug. 23, 2017    
Aug. 22, 2017    
Aug. 21, 2017    
Aug. 18, 2017    
Aug. 17, 2017    
Aug. 16, 2017    
Aug. 15, 2017    
Aug. 14, 2017    
Aug. 11, 2017    
Aug. 10, 2017    
Aug. 9, 2017    
Aug. 8, 2017    
Aug. 7, 2017    
Aug. 4, 2017    
Aug. 3, 2017    
Aug. 2, 2017    
Aug. 1, 2017    
July 31, 2017    
July 28, 2017    
July 27, 2017    
July 26, 2017    
July 25, 2017    
July 24, 2017    
July 21, 2017    
July 20, 2017    
July 19, 2017    
July 18, 2017    
July 17, 2017    
July 14, 2017    
July 13, 2017    
July 12, 2017    
July 11, 2017    
July 10, 2017    
July 7, 2017    
July 6, 2017    
July 5, 2017    
July 3, 2017    
June 30, 2017    
June 29, 2017    
June 28, 2017    
June 27, 2017    
June 26, 2017    
June 23, 2017    
June 22, 2017    
June 21, 2017    
June 20, 2017    
June 19, 2017    
June 16, 2017    
June 15, 2017    
June 14, 2017    
June 13, 2017    
June 12, 2017    
June 9, 2017    
June 8, 2017    
June 7, 2017    
June 6, 2017    
June 5, 2017    
June 2, 2017    
June 1, 2017    
May 31, 2017    
May 30, 2017    
May 26, 2017    
May 25, 2017    
May 24, 2017    
May 23, 2017    
May 22, 2017    
May 19, 2017    
May 18, 2017    
May 17, 2017    
May 16, 2017    
May 15, 2017    
May 12, 2017    
May 11, 2017    
May 10, 2017    
May 9, 2017    
May 8, 2017    
May 5, 2017    
May 4, 2017    
May 3, 2017    
May 2, 2017    
May 1, 2017    
April 28, 2017    
April 27, 2017    
April 26, 2017    
April 25, 2017    
April 24, 2017    
April 21, 2017    
April 20, 2017    
April 19, 2017    
April 18, 2017    
April 17, 2017    
April 13, 2017    
April 12, 2017    
April 11, 2017    
April 10, 2017    
April 7, 2017    
April 6, 2017    
April 5, 2017    
April 4, 2017    
April 3, 2017    
March 31, 2017    
March 30, 2017    
March 29, 2017    
March 28, 2017    
March 27, 2017    
March 24, 2017    
March 23, 2017    
March 22, 2017    
March 21, 2017    
March 20, 2017    
March 17, 2017    
March 16, 2017    
March 15, 2017    
March 14, 2017    
March 13, 2017    
March 10, 2017    
March 9, 2017    
March 8, 2017    
March 7, 2017    
March 6, 2017    
March 3, 2017    
March 2, 2017    
March 1, 2017    
Feb. 28, 2017    
Feb. 27, 2017    
Feb. 24, 2017    
Feb. 23, 2017    
Feb. 22, 2017    
Feb. 21, 2017    
Feb. 17, 2017    
Feb. 16, 2017    
Feb. 15, 2017    
Feb. 14, 2017    
Feb. 13, 2017    
Feb. 10, 2017    
Feb. 9, 2017    
Feb. 8, 2017    
Feb. 7, 2017    
Feb. 6, 2017    
Feb. 3, 2017    
Feb. 2, 2017    
Feb. 1, 2017    
Jan. 31, 2017    
Jan. 30, 2017    
Jan. 27, 2017    
Jan. 26, 2017    
Jan. 25, 2017    
Jan. 24, 2017    
Jan. 23, 2017    
Jan. 20, 2017    
Jan. 19, 2017    
Jan. 18, 2017    
Jan. 17, 2017    
Jan. 13, 2017    
Jan. 12, 2017    
Jan. 11, 2017    
Jan. 10, 2017    
Jan. 9, 2017    
Jan. 6, 2017    
Jan. 5, 2017    
Jan. 4, 2017    
Jan. 3, 2017    
Dec. 30, 2016    
Dec. 29, 2016    
Dec. 28, 2016    
Dec. 27, 2016    
Dec. 23, 2016    
Dec. 22, 2016    
Dec. 21, 2016    
Dec. 20, 2016    
Dec. 19, 2016    
Dec. 16, 2016    
Dec. 15, 2016    
Dec. 14, 2016    
Dec. 13, 2016    
Dec. 12, 2016    
Dec. 9, 2016    
Dec. 8, 2016    
Dec. 7, 2016    
Dec. 6, 2016    
Dec. 5, 2016    
Dec. 2, 2016    
Dec. 1, 2016    
Nov. 30, 2016    
Nov. 29, 2016    
Nov. 28, 2016    
Nov. 25, 2016    
Nov. 23, 2016    
Nov. 22, 2016    
Nov. 21, 2016    
Nov. 18, 2016    
Nov. 17, 2016    
Nov. 16, 2016    
Nov. 15, 2016    
Nov. 14, 2016    
Nov. 11, 2016    
Nov. 10, 2016    
Nov. 9, 2016    
Nov. 8, 2016    
Nov. 7, 2016    
Nov. 4, 2016    
Nov. 3, 2016    
Nov. 2, 2016    
