Feb. 1 2018,8.59%
Jan. 31 2018,8.68%
Jan. 30 2018,8.72%
Jan. 29 2018,8.64%
Jan. 26 2018,8.63%
Jan. 25 2018,8.68%
Jan. 24 2018,8.68%
Jan. 23 2018,8.79%
Jan. 22 2018,8.78%
Jan. 19 2018,8.88%
Jan. 18 2018,8.86%
Jan. 17 2018,8.88%
Jan. 16 2018,8.94%
Jan. 12 2018,8.91%
Jan. 11 2018,9.06%
Jan. 10 2018,9.10%
Jan. 9 2018,9.21%
Jan. 8 2018,9.25%
Jan. 5 2018,9.27%
Jan. 4 2018,9.21%
Jan. 3 2018,9.29%
Jan. 2 2018,9.30%
Dec. 29 2017,9.41%
Dec. 28 2017,9.34%
Dec. 27 2017,9.39%
Dec. 26 2017,9.41%
Dec. 22 2017,9.37%
Dec. 21 2017,9.33%
Dec. 20 2017,9.48%
Dec. 19 2017,9.45%
Dec. 18 2017,9.41%
Dec. 15 2017,9.48%
Dec. 14 2017,9.62%
Dec. 13 2017,9.54%
Dec. 12 2017,9.42%
Dec. 11 2017,9.53%
Dec. 8 2017,9.50%
Dec. 7 2017,9.62%
Dec. 6 2017,9.59%
Dec. 5 2017,9.52%
Dec. 4 2017,9.41%
Dec. 1 2017,9.61%
Nov. 30 2017,9.63%
Nov. 29 2017,9.70%
Nov. 28 2017,9.93%
Nov. 27 2017,10.28%
Nov. 24 2017,10.24%
Nov. 22 2017,10.20%
Nov. 21 2017,10.17%
Nov. 20 2017,10.17%
Nov. 17 2017,10.26%
Nov. 16 2017,10.22%
Nov. 15 2017,10.25%
Nov. 14 2017,10.35%
Nov. 13 2017,10.29%
Nov. 10 2017,10.32%
Nov. 9 2017,10.31%
Nov. 8 2017,10.31%
Nov. 7 2017,10.19%
Nov. 6 2017,9.99%
Nov. 3 2017,9.93%
Nov. 2 2017,9.91%
Nov. 1 2017,9.97%
Oct. 31 2017,10.00%
Oct. 30 2017,9.93%
Oct. 27 2017,9.89%
Oct. 26 2017,9.89%
Oct. 25 2017,9.96%
Oct. 24 2017,9.97%
Oct. 23 2017,10.13%
Oct. 20 2017,10.12%
Oct. 19 2017,10.26%
Oct. 18 2017,10.27%
Oct. 17 2017,10.31%
Oct. 16 2017,10.29%
Oct. 13 2017,10.50%
Oct. 12 2017,10.49%
Oct. 11 2017,10.39%
Oct. 10 2017,10.36%
Oct. 9 2017,10.44%
Oct. 6 2017,10.39%
Oct. 5 2017,10.37%
Oct. 4 2017,10.45%
Oct. 3 2017,10.34%
Oct. 2 2017,10.39%
Sept. 30 2017,10.54%
Sept. 29 2017,10.30%
Sept. 28 2017,10.30%
Sept. 27 2017,10.32%
Sept. 26 2017,10.48%
Sept. 25 2017,10.43%
Sept. 22 2017,10.35%
Sept. 21 2017,10.33%
Sept. 20 2017,10.45%
Sept. 19 2017,10.45%
Sept. 18 2017,10.57%
Sept. 15 2017,10.72%
Sept. 14 2017,10.79%
Sept. 13 2017,10.77%
Sept. 12 2017,10.80%
Sept. 11 2017,10.94%
Sept. 8 2017,11.11%
Sept. 7 2017,11.09%
Sept. 6 2017,10.90%
Sept. 5 2017,10.97%
Sept. 1 2017,10.71%
Aug. 31 2017,10.80%
Aug. 30 2017,10.75%
Aug. 29 2017,10.78%
Aug. 28 2017,10.72%
Aug. 25 2017,10.69%
Aug. 24 2017,10.73%
Aug. 23 2017,10.71%
Aug. 22 2017,10.72%
Aug. 21 2017,10.83%
Aug. 18 2017,10.82%
Aug. 17 2017,10.83%
Aug. 16 2017,10.66%
Aug. 15 2017,10.59%
Aug. 14 2017,10.62%
Aug. 11 2017,10.74%
Aug. 10 2017,10.65%
Aug. 9 2017,10.50%
Aug. 8 2017,10.48%
Aug. 7 2017,10.44%
Aug. 4 2017,10.48%
Aug. 3 2017,10.62%
Aug. 2 2017,10.55%
Aug. 1 2017,10.56%
July 31 2017,10.70%
July 28 2017,10.76%
July 27 2017,10.73%
July 26 2017,10.68%
July 25 2017,10.58%
July 24 2017,10.76%
July 21 2017,10.80%
July 20 2017,10.77%
July 19 2017,10.77%
July 18 2017,10.78%
July 17 2017,10.74%
July 14 2017,10.64%
July 13 2017,10.55%
July 12 2017,10.61%
July 11 2017,10.58%
July 10 2017,10.54%
July 7 2017,10.46%
July 6 2017,10.52%
July 5 2017,10.48%
July 3 2017,10.59%
June 30 2017,10.74%
June 29 2017,10.57%
June 28 2017,10.73%
June 27 2017,10.94%
June 26 2017,11.05%
June 23 2017,11.09%
June 22 2017,11.07%
June 21 2017,11.06%
June 20 2017,11.01%
June 19 2017,10.94%
June 16 2017,11.18%
June 15 2017,11.13%
June 14 2017,11.06%
June 13 2017,11.04%
June 12 2017,11.08%
June 9 2017,11.08%
June 8 2017,11.34%
June 7 2017,11.48%
June 6 2017,11.62%
June 5 2017,11.64%
June 2 2017,11.66%
June 1 2017,11.60%
May 31 2017,11.73%
May 30 2017,11.49%
May 26 2017,11.29%
May 25 2017,11.29%
May 24 2017,11.24%
May 23 2017,11.24%
May 22 2017,11.38%
May 19 2017,11.37%
May 18 2017,11.48%
May 17 2017,11.43%
May 16 2017,11.00%
May 15 2017,11.03%
May 12 2017,11.09%
May 11 2017,11.06%
May 10 2017,11.02%
May 9 2017,11.11%
May 8 2017,11.06%
May 5 2017,11.08%
May 4 2017,11.06%
May 3 2017,11.08%
May 2 2017,11.14%
May 1 2017,11.07%
April 28 2017,11.08%
April 27 2017,11.00%
April 26 2017,10.90%
April 25 2017,10.92%
April 24 2017,11.01%
April 21 2017,11.40%
April 20 2017,11.26%
April 19 2017,11.41%
April 18 2017,11.32%
April 17 2017,11.22%
April 13 2017,11.42%
April 12 2017,11.28%
April 11 2017,11.24%
April 10 2017,11.22%
April 7 2017,11.18%
April 6 2017,11.14%
April 5 2017,11.18%
April 4 2017,11.04%
April 3 2017,11.01%
March 31 2017,10.97%
March 30 2017,10.51%
March 29 2017,10.60%
March 28 2017,10.56%
March 27 2017,10.73%
March 24 2017,10.72%
March 23 2017,10.71%
March 22 2017,10.69%
March 21 2017,10.71%
March 20 2017,10.40%
March 17 2017,10.32%
March 16 2017,10.21%
March 15 2017,10.20%
March 14 2017,10.23%
March 13 2017,10.24%
March 10 2017,10.25%
March 9 2017,10.22%
March 8 2017,10.26%
March 7 2017,10.24%
March 6 2017,10.18%
March 3 2017,10.09%
March 2 2017,10.16%
March 1 2017,10.00%
Feb. 28 2017,10.33%
Feb. 27 2017,10.35%
Feb. 24 2017,10.36%
Feb. 23 2017,10.27%
Feb. 22 2017,10.28%
Feb. 21 2017,10.28%
Feb. 17 2017,10.37%
Feb. 16 2017,10.34%
Feb. 15 2017,10.33%
Feb. 14 2017,10.45%
Feb. 13 2017,10.62%
Feb. 10 2017,10.76%
Feb. 9 2017,10.73%
Feb. 8 2017,10.89%
Feb. 7 2017,10.79%
Feb. 6 2017,10.79%
Feb. 3 2017,10.74%
Feb. 2 2017,11.06%
Feb. 1 2017,11.02%
Jan. 31 2017,11.06%
Jan. 30 2017,10.88%
Jan. 27 2017,10.77%
Jan. 26 2017,10.79%
Jan. 25 2017,10.88%
Jan. 24 2017,11.05%
Jan. 23 2017,11.18%
Jan. 20 2017,11.19%
Jan. 19 2017,11.24%
Jan. 18 2017,11.15%
Jan. 17 2017,11.20%
Jan. 13 2017,10.80%
Jan. 12 2017,10.85%
Jan. 11 2017,10.75%
Jan. 10 2017,10.83%
Jan. 9 2017,10.86%
Jan. 6 2017,10.87%
Jan. 5 2017,10.87%
Jan. 4 2017,10.77%
Jan. 3 2017,10.73%
Dec. 30 2016,10.28%
Dec. 29 2016,10.33%
Dec. 28 2016,10.26%
Dec. 27 2016,10.18%
Dec. 23 2016,10.19%
Dec. 22 2016,10.21%
Dec. 21 2016,10.23%
Dec. 20 2016,10.25%
Dec. 19 2016,10.38%
Dec. 16 2016,10.44%
Dec. 15 2016,10.32%
Dec. 14 2016,10.47%
Dec. 13 2016,10.47%
Dec. 12 2016,10.47%
Dec. 9 2016,10.38%
Dec. 8 2016,10.42%
Dec. 7 2016,10.55%
Dec. 6 2016,10.60%
Dec. 5 2016,10.66%
Dec. 2 2016,10.87%
Dec. 1 2016,10.85%
Nov. 30 2016,11.07%
Nov. 29 2016,11.24%
Nov. 28 2016,11.33%
Nov. 25 2016,11.25%
Nov. 23 2016,11.25%
Nov. 22 2016,11.30%
Nov. 21 2016,11.37%
Nov. 18 2016,11.42%
Nov. 17 2016,11.37%
Nov. 16 2016,11.46%
Nov. 15 2016,11.18%
Nov. 14 2016,11.16%
Nov. 11 2016,11.57%
Nov. 10 2016,11.57%
Nov. 9 2016,12.11%
Nov. 8 2016,12.67%
Nov. 7 2016,12.70%
Nov. 4 2016,13.09%
Nov. 3 2016,12.97%
Nov. 2 2016,12.92%
Nov. 1 2016,12.86%
Oct. 31 2016,12.81%
Oct. 28 2016,12.84%
Oct. 27 2016,12.82%
Oct. 26 2016,12.83%
Oct. 25 2016,12.90%
Oct. 24 2016,12.88%
Oct. 21 2016,12.95%
Oct. 20 2016,13.00%
Oct. 19 2016,12.98%
Oct. 18 2016,13.10%
Oct. 17 2016,13.21%
Oct. 14 2016,13.14%
Oct. 13 2016,13.10%
Oct. 12 2016,13.02%
Oct. 11 2016,12.99%
Oct. 10 2016,12.93%
Oct. 7 2016,13.03%
Oct. 6 2016,13.07%
Oct. 5 2016,13.11%
Oct. 4 2016,13.32%
Oct. 3 2016,13.34%
Sept. 30 2016,13.32%
Sept. 29 2016,12.57%
Sept. 28 2016,12.37%
Sept. 27 2016,12.43%
Sept. 26 2016,12.54%
Sept. 23 2016,12.27%
Sept. 22 2016,12.24%
Sept. 21 2016,12.34%
Sept. 20 2016,12.42%
Sept. 19 2016,12.47%
Sept. 16 2016,12.54%
Sept. 15 2016,12.38%
Sept. 14 2016,12.43%
Sept. 13 2016,12.40%
Sept. 12 2016,12.30%
Sept. 9 2016,12.38%
Sept. 8 2016,12.27%
Sept. 7 2016,12.29%
Sept. 6 2016,12.24%
Sept. 2 2016,12.23%
Sept. 1 2016,12.28%
Aug. 31 2016,12.22%
Aug. 30 2016,12.22%
Aug. 29 2016,12.32%
Aug. 26 2016,12.46%
Aug. 25 2016,12.49%
Aug. 24 2016,12.51%
Aug. 23 2016,12.55%
Aug. 22 2016,12.54%
Aug. 19 2016,12.53%
Aug. 18 2016,12.51%
Aug. 17 2016,12.52%
Aug. 16 2016,12.56%
Aug. 15 2016,12.56%
Aug. 12 2016,12.63%
Aug. 11 2016,12.61%
Aug. 10 2016,12.64%
Aug. 9 2016,12.53%
Aug. 8 2016,12.48%
Aug. 5 2016,12.45%
Aug. 4 2016,12.78%
Aug. 3 2016,12.76%
Aug. 2 2016,12.96%
Aug. 1 2016,12.93%
July 29 2016,12.90%
July 28 2016,12.87%
July 27 2016,12.83%
July 26 2016,12.87%
July 25 2016,12.92%
July 22 2016,12.88%
July 21 2016,12.96%
July 20 2016,12.91%
July 19 2016,12.92%
July 18 2016,12.90%
July 15 2016,12.86%
July 14 2016,12.87%
July 13 2016,13.06%
July 12 2016,13.06%
July 11 2016,13.25%
July 8 2016,13.35%
July 7 2016,13.71%
July 6 2016,13.71%
July 5 2016,13.86%
July 1 2016,13.47%
June 30 2016,13.28%
June 29 2016,13.03%
June 28 2016,13.40%
June 27 2016,13.84%
June 24 2016,13.38%
June 23 2016,12.45%
June 22 2016,12.72%
June 21 2016,12.67%
June 20 2016,12.79%
June 17 2016,12.81%
June 16 2016,12.82%
June 15 2016,12.87%
June 14 2016,12.85%
June 13 2016,12.61%
June 10 2016,12.49%
June 9 2016,12.32%
June 8 2016,12.22%
June 7 2016,12.26%
June 6 2016,12.22%
June 3 2016,12.34%
June 2 2016,12.12%
June 1 2016,12.14%
May 31 2016,12.22%
May 27 2016,12.19%
May 26 2016,12.26%
May 25 2016,12.17%
May 24 2016,12.36%
May 23 2016,12.57%
May 20 2016,12.56%
May 19 2016,12.58%
May 18 2016,12.45%
May 17 2016,12.93%
May 16 2016,12.93%
May 13 2016,13.03%
May 12 2016,12.91%
May 11 2016,12.90%
May 10 2016,12.86%
May 9 2016,13.03%
May 6 2016,12.95%
May 5 2016,13.02%
May 4 2016,12.75%
May 3 2016,12.75%
May 2 2016,12.50%
April 29 2016,12.62%
April 28 2016,12.54%
April 27 2016,12.44%
April 26 2016,12.48%
April 25 2016,12.54%
April 22 2016,12.47%
April 21 2016,12.54%
April 20 2016,12.41%
April 19 2016,12.60%
April 18 2016,12.81%
April 15 2016,12.89%
April 14 2016,12.74%
April 13 2016,12.91%
April 12 2016,13.45%
April 11 2016,13.70%
April 8 2016,13.81%
April 7 2016,13.91%
April 6 2016,13.56%
