Feb. 1 2018,1.09%
Jan. 31 2018,1.10%
Jan. 30 2018,1.11%
Jan. 29 2018,1.07%
Jan. 26 2018,1.06%
Jan. 25 2018,1.07%
Jan. 24 2018,1.04%
Jan. 23 2018,1.04%
Jan. 22 2018,1.04%
Jan. 19 2018,1.08%
Jan. 18 2018,1.07%
Jan. 17 2018,1.06%
Jan. 16 2018,1.10%
Jan. 12 2018,1.06%
Jan. 11 2018,1.08%
Jan. 10 2018,1.12%
Jan. 9 2018,1.11%
Jan. 8 2018,1.11%
Jan. 5 2018,1.12%
Jan. 4 2018,1.10%
Jan. 3 2018,1.13%
Jan. 2 2018,1.15%
Dec. 29 2017,1.18%
Dec. 28 2017,1.17%
Dec. 27 2017,1.18%
Dec. 26 2017,1.16%
Dec. 22 2017,1.18%
Dec. 21 2017,1.17%
Dec. 20 2017,1.23%
Dec. 19 2017,1.25%
Dec. 18 2017,1.30%
Dec. 15 2017,1.33%
Dec. 14 2017,1.32%
Dec. 13 2017,1.32%
Dec. 12 2017,1.32%
Dec. 11 2017,1.32%
Dec. 8 2017,1.32%
Dec. 7 2017,1.36%
Dec. 6 2017,1.38%
Dec. 5 2017,1.34%
Dec. 4 2017,1.34%
Dec. 1 2017,1.33%
Nov. 30 2017,1.35%
Nov. 29 2017,1.36%
Nov. 28 2017,1.37%
Nov. 27 2017,1.38%
Nov. 24 2017,1.32%
Nov. 22 2017,1.34%
Nov. 21 2017,1.38%
Nov. 20 2017,1.38%
Nov. 17 2017,1.33%
Nov. 16 2017,1.38%
Nov. 15 2017,1.35%
Nov. 14 2017,1.35%
Nov. 13 2017,1.29%
Nov. 10 2017,1.28%
Nov. 9 2017,1.27%
Nov. 8 2017,1.27%
Nov. 7 2017,1.24%
Nov. 6 2017,1.22%
Nov. 3 2017,1.28%
Nov. 2 2017,1.30%
Nov. 1 2017,1.34%
Oct. 31 2017,1.41%
Oct. 30 2017,1.41%
Oct. 27 2017,1.45%
Oct. 26 2017,1.47%
Oct. 25 2017,1.48%
Oct. 24 2017,1.46%
Oct. 23 2017,1.47%
Oct. 20 2017,1.44%
Oct. 19 2017,1.46%
Oct. 18 2017,1.45%
Oct. 17 2017,1.43%
Oct. 16 2017,1.44%
Oct. 13 2017,1.45%
Oct. 12 2017,1.47%
Oct. 11 2017,1.46%
Oct. 10 2017,1.47%
Oct. 9 2017,1.47%
Oct. 6 2017,1.48%
Oct. 5 2017,1.44%
Oct. 4 2017,1.44%
Oct. 3 2017,1.45%
Oct. 2 2017,1.47%
Sept. 29 2017,1.47%
Sept. 28 2017,1.48%
Sept. 27 2017,1.46%
Sept. 26 2017,1.49%
Sept. 25 2017,1.52%
Sept. 22 2017,1.56%
