June 29 2015,3.20%
June 26 2015,3.08%
June 25 2015,3.19%
June 24 2015,3.21%
June 23 2015,3.21%
June 22 2015,3.27%
June 19 2015,3.29%
June 18 2015,3.22%
June 17 2015,3.22%
June 16 2015,3.20%
June 15 2015,3.23%
June 12 2015,3.22%
June 11 2015,3.17%
June 10 2015,3.16%
June 9 2015,3.19%
June 8 2015,3.21%
June 5 2015,3.17%
June 4 2015,3.20%
June 3 2015,3.15%
June 2 2015,3.15%
June 1 2015,3.15%
May 29 2015,3.14%
May 28 2015,3.14%
May 27 2015,3.10%
May 26 2015,3.09%
May 22 2015,3.04%
May 21 2015,3.03%
May 20 2015,3.11%
May 19 2015,3.12%
May 18 2015,3.08%
May 15 2015,3.09%
May 14 2015,3.09%
May 13 2015,3.03%
May 12 2015,3.01%
May 11 2015,3.01%
May 8 2015,2.91%
May 7 2015,2.95%
May 6 2015,2.86%
May 5 2015,2.85%
May 4 2015,2.75%
May 1 2015,2.78%
April 30 2015,2.75%
April 29 2015,2.74%
April 28 2015,2.78%
April 27 2015,2.81%
April 24 2015,2.82%
April 23 2015,2.80%
April 22 2015,2.81%
April 21 2015,2.83%
April 20 2015,2.76%
April 17 2015,2.80%
April 16 2015,2.78%
April 15 2015,2.78%
April 14 2015,2.90%
April 13 2015,2.96%
April 10 2015,2.93%
April 9 2015,2.97%
April 8 2015,3.05%
April 7 2015,3.03%
April 6 2015,3.06%
April 2 2015,3.15%
April 1 2015,3.21%
March 31 2015,3.27%
March 30 2015,8.85%
March 27 2015,9.04%
March 26 2015,8.87%
March 25 2015,8.86%
March 24 2015,9.04%
March 23 2015,9.03%
March 20 2015,8.94%
March 19 2015,9.11%
March 18 2015,8.88%
March 17 2015,9.16%
March 16 2015,9.00%
March 13 2015,9.08%
March 12 2015,9.14%
March 11 2015,9.07%
March 10 2015,9.06%
March 9 2015,8.90%
March 6 2015,8.74%
March 5 2015,8.56%
March 4 2015,8.48%
March 3 2015,8.44%
March 2 2015,8.46%
Feb. 27 2015,8.40%
Feb. 26 2015,8.36%
Feb. 25 2015,8.05%
Feb. 24 2015,8.12%
Feb. 23 2015,8.20%
Feb. 20 2015,8.22%
Feb. 19 2015,8.07%
Feb. 18 2015,8.06%
Feb. 17 2015,7.90%
Feb. 13 2015,7.94%
Feb. 12 2015,8.13%
Feb. 11 2015,8.33%
Feb. 10 2015,8.25%
Feb. 9 2015,8.27%
Feb. 6 2015,8.37%
Feb. 5 2015,8.25%
Feb. 4 2015,8.36%
Feb. 3 2015,8.13%
Feb. 2 2015,8.39%
Jan. 30 2015,8.80%
Jan. 29 2015,9.15%
Jan. 28 2015,9.16%
Jan. 27 2015,8.68%
Jan. 26 2015,8.58%
Jan. 23 2015,8.82%
Jan. 22 2015,8.72%
Jan. 21 2015,8.80%
Jan. 20 2015,9.02%
Jan. 16 2015,8.80%
Jan. 15 2015,9.19%
Jan. 14 2015,9.02%
Jan. 13 2015,9.04%
Jan. 12 2015,8.92%
Jan. 9 2015,8.46%
Jan. 8 2015,8.44%
Jan. 7 2015,8.61%
Jan. 6 2015,8.71%
Jan. 5 2015,8.58%
Jan. 2 2015,8.18%
Dec. 31 2014,8.27%
Dec. 30 2014,10.40%
Dec. 29 2014,10.35%
Dec. 26 2014,10.46%
Dec. 24 2014,10.43%
Dec. 23 2014,10.30%
Dec. 22 2014,10.46%
Dec. 19 2014,10.47%
Dec. 18 2014,10.73%
Dec. 17 2014,11.09%
Dec. 16 2014,11.68%
Dec. 15 2014,11.92%
Dec. 12 2014,11.62%
Dec. 11 2014,11.26%
Dec. 10 2014,11.19%
Dec. 9 2014,10.64%
Dec. 8 2014,10.85%
Dec. 5 2014,10.12%
Dec. 4 2014,9.91%
Dec. 3 2014,9.68%
Dec. 2 2014,9.95%
Dec. 1 2014,10.20%
Nov. 28 2014,10.22%
Nov. 26 2014,9.10%
Nov. 25 2014,8.93%
Nov. 24 2014,8.81%
Nov. 21 2014,8.74%
Nov. 20 2014,8.88%
Nov. 19 2014,9.02%
Nov. 18 2014,9.22%
Nov. 17 2014,9.29%
Nov. 14 2014,9.14%
Nov. 13 2014,9.25%
Nov. 12 2014,9.06%
Nov. 11 2014,8.92%
Nov. 10 2014,8.89%
Nov. 7 2014,8.60%
Nov. 6 2014,8.61%
Nov. 5 2014,8.81%
Nov. 4 2014,8.86%
Nov. 3 2014,8.55%
Oct. 31 2014,8.35%
Oct. 30 2014,8.67%
Oct. 29 2014,8.60%
Oct. 28 2014,8.63%
Oct. 27 2014,8.96%
Oct. 24 2014,8.57%
Oct. 23 2014,8.51%
Oct. 22 2014,8.69%
Oct. 21 2014,8.48%
Oct. 20 2014,8.63%
Oct. 17 2014,8.71%
Oct. 16 2014,8.83%
Oct. 15 2014,9.03%
Oct. 14 2014,9.08%
Oct. 13 2014,8.98%
Oct. 10 2014,8.64%
Oct. 9 2014,8.52%
Oct. 8 2014,8.18%
Oct. 7 2014,8.25%
Oct. 6 2014,8.07%
Oct. 3 2014,8.07%
Oct. 2 2014,8.01%
Oct. 1 2014,7.96%
Sept. 30 2014,7.87%
Sept. 29 2014,8.75%
Sept. 26 2014,8.77%
Sept. 25 2014,8.86%
Sept. 24 2014,8.73%
Sept. 23 2014,8.80%
Sept. 22 2014,8.73%
Sept. 19 2014,8.61%
Sept. 18 2014,8.59%
Sept. 17 2014,8.38%
Sept. 16 2014,8.42%
Sept. 15 2014,8.48%
Sept. 12 2014,8.54%
Sept. 11 2014,8.44%
Sept. 10 2014,8.44%
Sept. 9 2014,8.43%
Sept. 8 2014,8.40%
Sept. 5 2014,8.26%
Sept. 4 2014,8.34%
Sept. 3 2014,8.18%
Sept. 2 2014,8.24%
Aug. 29 2014,8.10%
Aug. 28 2014,8.26%
Aug. 27 2014,8.26%
Aug. 26 2014,8.31%
Aug. 25 2014,8.37%
Aug. 22 2014,8.45%
Aug. 21 2014,8.38%
Aug. 20 2014,8.46%
Aug. 19 2014,8.50%
Aug. 18 2014,8.68%
Aug. 15 2014,8.66%
Aug. 14 2014,8.66%
Aug. 13 2014,8.63%
Aug. 12 2014,8.65%
Aug. 11 2014,8.64%
Aug. 8 2014,8.64%
Aug. 7 2014,8.87%
Aug. 6 2014,8.68%
