Dec. 31 2017,-120.1%
Sept. 30 2017,-156.8%
June 30 2017,-156.9%
March 31 2017,-156.0%
Dec. 31 2016,-56.51%
Sept. 30 2016,-48.36%
June 30 2016,-59.47%
March 31 2016,-58.51%
Dec. 31 2015,-44.50%
Sept. 30 2015,-7.05%
June 30 2015,8.15%
March 31 2015,16.31%
Dec. 31 2014,27.06%
Sept. 30 2014,22.06%
June 30 2014,22.96%
March 31 2014,21.87%
Dec. 31 2013,13.82%
Sept. 30 2013,15.98%
June 30 2013,13.55%
March 31 2013,12.42%
Dec. 31 2012,12.67%
Sept. 30 2012,11.45%
June 30 2012,11.43%
March 31 2012,15.26%
Dec. 31 2011,19.28%
Sept. 30 2011,20.83%
June 30 2011,24.15%
March 31 2011,23.73%
Dec. 31 2010,9.90%
Sept. 30 2010,5.77%
June 30 2010,3.87%
March 31 2010,2.71%
Dec. 31 2009,2.71%
Sept. 30 2009,2.02%
June 30 2009,4.41%
March 31 2009,4.37%
Dec. 31 2008,4.51%
Sept. 30 2008,4.91%
June 30 2008,4.07%
March 31 2008,5.44%
Dec. 31 2007,5.84%
Sept. 30 2007,7.35%
June 30 2007,8.22%
March 31 2007,8.52%
Dec. 31 2006,8.16%
Sept. 30 2006,7.70%
June 30 2006,6.54%
March 31 2006,5.16%
Dec. 31 2005,6.42%
Sept. 30 2005,6.73%
June 30 2005,6.10%
March 31 2005,5.84%
Dec. 31 2004,3.63%
Sept. 30 2004,3.03%
June 30 2004,3.41%
March 31 2004,3.39%
Dec. 31 2003,3.58%
Sept. 30 2003,2.99%
June 30 2003,2.57%
March 31 2003,2.44%
Dec. 31 2002,1.88%
Sept. 30 2002,-2.94%
June 30 2002,-2.61%
March 31 2002,-1.07%
Dec. 31 2001,0.55%
Sept. 30 2001,2.94%
June 30 2001,2.72%
March 31 2001,2.15%
Dec. 31 2000,1.36%
Sept. 30 2000,3.14%
June 30 2000,3.87%
March 31 2000,3.41%
Dec. 31 1999,3.23%
Sept. 30 1999,2.18%
June 30 1999,1.25%
March 31 1999,1.40%
Dec. 31 1998,1.71%
Sept. 30 1998,2.55%
June 30 1998,3.71%
March 31 1998,3.80%
