Date,Open,High,Low,Close,Adj Close,PE Ratio,EV to EBIT,Operating_Earning_Yield,PEG Ratio,PS Ratio,Market Cap,Operating Yields,Price to book value,EV to revenues,Dividend_yield
1/2/2013,34.919998,35.400002,34.099998,35.119999,28.91256,10.48,10.84,0.01,,4.561,81.91B,0.1,,3.438,
1/3/2013,35,35,34.16,34.830002,28.67382,10.4,10.76,0.01,,4.564,81.73B,0.1,,3.413,
1/4/2013,34.619999,34.889999,34.25,34.389999,28.311583,10.27,10.64,0.01,,4.571,82.96B,0.1,,3.375,
1/7/2013,34.150002,35.450001,34.150002,34.459999,28.369215,10.29,10.66,0.01,,4.568,84.75B,0.1,,3.381,
1/8/2013,34.290001,34.639999,33.360001,33.709999,27.751776,10.06,10.46,0.01,,4.593,84.77B,0.1,,3.316,
1/9/2013,33.610001,33.950001,33.610001,33.900002,27.908201,10.12,10.51,0.01,,4.578,85.68B,0.1,,3.333,
1/10/2013,33.66,34,33.330002,34,27.990515,10.15,10.54,0.11,,4.596,85.32B,0.1,,3.342,
1/11/2013,33.59,33.900002,33.349998,33.849998,28.198776,10.1,10.5,0.11,,4.614,81.97B,0.1,,3.329,
1/14/2013,34.009998,34.25,33.799999,34.09,28.398718,10.18,10.56,0.11,,4.675,82.50B,0.1,,3.349,
1/15/2013,33.709999,34.720001,33.709999,34.599998,28.82357,10.33,10.7,0.11,,4.658,82.20B,0.1,,3.393,
1/16/2013,34.470001,35.540001,34.450001,35.540001,29.606636,10.61,10.95,0.1,,4.552,82.45B,0.09,,3.474,
1/17/2013,35.75,36.700001,35.75,36.419998,30.339716,10.87,11.19,0.1,,4.562,81.37B,0.09,,3.55,
1/18/2013,36.43,37.32,36.040001,37.32,31.089476,11.14,11.44,0.1,,4.584,81.73B,0.09,,3.627,
1/22/2013,36.98,37.25,35.93,36.419998,30.339716,10.87,11.19,0.1,,4.536,82.84B,0.09,,3.55,
1/23/2013,36.91,37.84,36.5,37.799999,31.489332,11.28,11.57,0.1,,4.579,84.81B,0.09,,3.668,
1/24/2013,37.790001,38.52,37.23,37.459999,31.206097,11.18,11.47,0.1,,4.565,85.07B,0.09,,3.639,
1/25/2013,37.52,37.84,36.639999,37.599998,31.322721,11.22,11.51,0.1,,4.59,83.00B,0.09,,3.651,
1/28/2013,37.650002,37.869999,36.709999,36.889999,30.731255,11.01,11.32,0.1,,4.279,75.86B,0.09,,3.59,
1/29/2013,36.709999,37.459999,36.25,37.310001,31.081141,11.14,11.43,0.1,,4.151,74.34B,0.09,,3.626,
1/30/2013,36.810001,37.529999,36.810001,36.93,30.764578,11.02,11.33,0.1,,4.28,75.70B,0.09,,3.593,
1/31/2013,36.84,36.93,36.27,36.689999,30.564636,10.95,11.25,0.1,,4.003,75.57B,0.09,,3.567,
